"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,Answer 3 (Optional),Answer 4 (Optional),Time Limit (sec) (Max: 300 seconds),Correct Answer(s) (Only include Answer #)
1,"A marker lies on the floor of a subway car moving east. Relative to the car floor marker 1, the marker is...",at rest,moving east,moving west,accelerating north,45,1
2,Observer 1 stands beside a road while a truck moves west. Which reference frame is the observer most directly using?,the truck cab,the road/Earth,the truck cargo,the driver seat,45,2
3,A rider on train 1 says a station sign moves backward. Why can that statement be valid?,The sign actually detached from the station.,Motion never depends on reference frame.,The rider uses the train as the reference frame.,Backward means the sign has negative acceleration.,45,3
4,Which statement about reference frame example 1 is most complete?,The cart moves.,The cart is north.,The lab floor moves because the cart does.,The cart moves north relative to the lab floor.,45,4
5,Two observers in situation 1 give different motion descriptions of the same backpack. What must be checked first?,which reference frame each observer uses,which backpack is heavier,whether time is measured in seconds,whether the backpack has a label,45,1
6,"A marker lies on the floor of a subway car moving east. Relative to the car floor marker 2, the marker is...",moving east,at rest,moving west,accelerating north,45,2
7,Observer 2 stands beside a road while a truck moves west. Which reference frame is the observer most directly using?,the truck cab,the truck cargo,the road/Earth,the driver seat,45,3
8,A rider on train 2 says a station sign moves backward. Why can that statement be valid?,The sign actually detached from the station.,Motion never depends on reference frame.,Backward means the sign has negative acceleration.,The rider uses the train as the reference frame.,45,4
9,Which statement about reference frame example 2 is most complete?,The cart moves north relative to the lab floor.,The cart moves.,The cart is north.,The lab floor moves because the cart does.,45,1
10,Two observers in situation 2 give different motion descriptions of the same backpack. What must be checked first?,which backpack is heavier,which reference frame each observer uses,whether time is measured in seconds,whether the backpack has a label,45,2
11,"A marker lies on the floor of a subway car moving east. Relative to the car floor marker 3, the marker is...",moving east,moving west,at rest,accelerating north,45,3
12,Observer 3 stands beside a road while a truck moves west. Which reference frame is the observer most directly using?,the truck cab,the truck cargo,the driver seat,the road/Earth,45,4
13,A rider on train 3 says a station sign moves backward. Why can that statement be valid?,The rider uses the train as the reference frame.,The sign actually detached from the station.,Motion never depends on reference frame.,Backward means the sign has negative acceleration.,45,1
14,Which statement about reference frame example 3 is most complete?,The cart moves.,The cart moves north relative to the lab floor.,The cart is north.,The lab floor moves because the cart does.,45,2
15,Two observers in situation 3 give different motion descriptions of the same backpack. What must be checked first?,which backpack is heavier,whether time is measured in seconds,which reference frame each observer uses,whether the backpack has a label,45,3
16,"A marker lies on the floor of a subway car moving east. Relative to the car floor marker 4, the marker is...",moving east,moving west,accelerating north,at rest,45,4
17,Observer 4 stands beside a road while a truck moves west. Which reference frame is the observer most directly using?,the road/Earth,the truck cab,the truck cargo,the driver seat,45,1
18,A rider on train 4 says a station sign moves backward. Why can that statement be valid?,The sign actually detached from the station.,The rider uses the train as the reference frame.,Motion never depends on reference frame.,Backward means the sign has negative acceleration.,45,2
19,Which statement about reference frame example 4 is most complete?,The cart moves.,The cart is north.,The cart moves north relative to the lab floor.,The lab floor moves because the cart does.,45,3
20,Two observers in situation 4 give different motion descriptions of the same backpack. What must be checked first?,which backpack is heavier,whether time is measured in seconds,whether the backpack has a label,which reference frame each observer uses,45,4
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
