"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,Answer 3 (Optional),Answer 4 (Optional),Time Limit (sec) (Max: 300 seconds),Correct Answer(s) (Only include Answer #)
1,A runner covers 40 m in 10 s. What is the average speed?,4 m/s,5 m/s,3 m/s,7 m/s,45,1
2,Which quantity in trip 1 must include direction?,speed,velocity,distance,elapsed time,45,2
3,A speedometer shows 40 km/h at one moment. The reading is...,average trip speed,velocity with direction,instantaneous speed,acceleration,45,3
4,Two scooters in case 1 move at 6 m/s in opposite directions. Which statement is true?,Same velocity and same speed,Different speed but same velocity,Both have zero velocity,Same speed but different velocity,45,4
5,"On distance-time graph 1, a straight line has constant slope. What motion feature is constant?",speed,direction only,acceleration only,distance itself,45,1
6,A runner covers 60 m in 12 s. What is the average speed?,6 m/s,5 m/s,4 m/s,8 m/s,45,2
7,Which quantity in trip 2 must include direction?,speed,distance,velocity,elapsed time,45,3
8,A speedometer shows 45 km/h at one moment. The reading is...,average trip speed,velocity with direction,acceleration,instantaneous speed,45,4
9,Two scooters in case 2 move at 6 m/s in opposite directions. Which statement is true?,Same speed but different velocity,Same velocity and same speed,Different speed but same velocity,Both have zero velocity,45,1
10,"On distance-time graph 2, a straight line has constant slope. What motion feature is constant?",direction only,speed,acceleration only,distance itself,45,2
11,A runner covers 84 m in 14 s. What is the average speed?,7 m/s,5 m/s,6 m/s,9 m/s,45,3
12,Which quantity in trip 3 must include direction?,speed,distance,elapsed time,velocity,45,4
13,A speedometer shows 50 km/h at one moment. The reading is...,instantaneous speed,average trip speed,velocity with direction,acceleration,45,1
14,Two scooters in case 3 move at 6 m/s in opposite directions. Which statement is true?,Same velocity and same speed,Same speed but different velocity,Different speed but same velocity,Both have zero velocity,45,2
15,"On distance-time graph 3, a straight line has constant slope. What motion feature is constant?",direction only,acceleration only,speed,distance itself,45,3
16,A runner covers 112 m in 16 s. What is the average speed?,8 m/s,6 m/s,10 m/s,7 m/s,45,4
17,Which quantity in trip 4 must include direction?,velocity,speed,distance,elapsed time,45,1
18,A speedometer shows 55 km/h at one moment. The reading is...,average trip speed,instantaneous speed,velocity with direction,acceleration,45,2
19,Two scooters in case 4 move at 6 m/s in opposite directions. Which statement is true?,Same velocity and same speed,Different speed but same velocity,Same speed but different velocity,Both have zero velocity,45,3
20,"On distance-time graph 4, a straight line has constant slope. What motion feature is constant?",direction only,acceleration only,distance itself,speed,45,4
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
