summative_question,version_family,section,dok,source_formative,adaptation
1,V1-V4,5.1,1,U5-DOK1.1,diagram recognition / definition / longitudinal-feature variant
2,V1-V4,5.1,1,U5-DOK1.2,wave-type classification
3,V1-V4,5.3,1,U5-DOK1.3,medium recognition
4,V1-V4,5.2/5.4/5.5,1,U5-DOK1.4,phenomenon recognition
5,V1-V4,5.1,1,U5-DOK1.1,wave-property vocabulary
6,V1-V4,5.1,2,U5-DOK2.1,wave-speed calculation
7,V1-V4,5.1,2,U5-DOK2.2,frequency/period/wavelength relationship
8,V1-V4,5.2,2,U5-DOK2.3,superposition calculation/interpretation
9,V1-V4,5.4,2,U5-DOK2.4,echo distance/time reasoning
10,V1-V4,5.5,2,U5-DOK4.4,lower-rung beat-frequency calculation component
11,V1-V4,5.3,2,U5-DOK2.1/U5-DOK2.2,sound speed/frequency/wavelength
12,V1-V4,5.3,3,U5-DOK3.1,pitch/loudness misconception reasoning
13,V1-V4,5.2,3,U5-DOK3.2,Doppler explanation/model
14,V1-V4,5.3,3,U5-DOK3.3,sound-medium/vacuum critique
15,V1-V4,5.4,3,U5-DOK3.4,resonance evidence
16,V1-V4,5.5,4,U5-DOK4.2,sound-control design evaluation
17,V1-V4,5.1,2,U5-DOK2.1 + U5-DOK2.2,genuine multistep wave calculation; one final answer
18,V1-V4,5.4/5.5,2,U5-DOK2.4 / U5-DOK4.4,echo or beat calculation/reasoning
19,V1-V4,5.2/5.3,3,U5-DOK4.1 / U5-DOK2.3,wave/sound model explanation
20,V1-V4,5.4/5.5,4,U5-DOK4.2 / U5-DOK4.3 / U5-DOK4.4,context-rich critique/design reasoning
1,V5-V6,5.1,1,U5-DOK1.1,diagram recognition / definition / longitudinal-feature variant
2,V5-V6,5.1,1,U5-DOK1.2,wave-type classification
3,V5-V6,5.3,1,U5-DOK1.3,medium recognition
4,V5-V6,5.2/5.4/5.5,1,U5-DOK1.4,phenomenon recognition
5,V5-V6,5.1,1,U5-DOK1.1,wave-property vocabulary
6,V5-V6,5.1,2,U5-DOK2.1,wave-speed calculation
7,V5-V6,5.1,2,U5-DOK2.2,frequency/period/wavelength relationship
8,V5-V6,5.2,2,U5-DOK2.3,superposition calculation/interpretation
9,V5-V6,5.4,2,U5-DOK2.4,echo distance/time reasoning
10,V5-V6,5.5,2,U5-DOK4.4,lower-rung beat-frequency calculation component
11,V5-V6,5.3,2,U5-DOK2.1/U5-DOK2.2,sound speed/frequency/wavelength
12,V5-V6,5.3,3,U5-DOK3.1,pitch/loudness misconception reasoning
13,V5-V6,5.2,3,U5-DOK3.2,Doppler explanation/model
14,V5-V6,5.3,3,U5-DOK3.3,sound-medium/vacuum critique
15,V5-V6,5.4,3,U5-DOK3.4,resonance evidence
16,V5-V6,5.5,4,U5-DOK4.2,sound-control design evaluation
17,V5-V6,5.1,2,U5-DOK2.1 + U5-DOK2.2,genuine multistep wave calculation; one final answer
18,V5-V6,5.4/5.5,2,U5-DOK2.4 / U5-DOK4.4,echo or beat calculation/reasoning
19,V5-V6,5.2/5.3,3,U5-DOK4.1 / U5-DOK2.3,wave/sound model explanation
20,V5-V6,5.4/5.5,4,U5-DOK4.2 / U5-DOK4.3 / U5-DOK4.4,context-rich critique/design reasoning
1,V7-V8,5.1,1,U5-DOK1.1,diagram recognition / definition / longitudinal-feature variant
2,V7-V8,5.1,1,U5-DOK1.2,wave-type classification
3,V7-V8,5.3,1,U5-DOK1.3,medium recognition
4,V7-V8,5.2/5.4/5.5,1,U5-DOK1.4,phenomenon recognition
5,V7-V8,5.1,1,U5-DOK1.1,wave-property vocabulary
6,V7-V8,5.1,2,U5-DOK2.1,wave-speed calculation
7,V7-V8,5.1,2,U5-DOK2.2,frequency/period/wavelength relationship
8,V7-V8,5.2,2,U5-DOK2.3,superposition calculation/interpretation
9,V7-V8,5.4,2,U5-DOK2.4,echo distance/time reasoning
10,V7-V8,5.5,2,U5-DOK4.4,lower-rung beat-frequency calculation component
11,V7-V8,5.3,2,U5-DOK2.1/U5-DOK2.2,sound speed/frequency/wavelength
12,V7-V8,5.3,3,U5-DOK3.1,pitch/loudness misconception reasoning
13,V7-V8,5.2,3,U5-DOK3.2,Doppler explanation/model
14,V7-V8,5.3,3,U5-DOK3.3,sound-medium/vacuum critique
15,V7-V8,5.4,3,U5-DOK3.4,resonance evidence
16,V7-V8,5.5,4,U5-DOK4.2,sound-control design evaluation
17,V7-V8,5.1,2,U5-DOK2.1 + U5-DOK2.2,genuine multistep wave calculation; one final answer
18,V7-V8,5.4/5.5,2,U5-DOK2.4 / U5-DOK4.4,echo or beat calculation/reasoning
19,V7-V8,5.2/5.3,3,U5-DOK4.1 / U5-DOK2.3,wave/sound model explanation
20,V7-V8,5.4/5.5,4,U5-DOK4.2 / U5-DOK4.3 / U5-DOK4.4,context-rich critique/design reasoning
