Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer
Which velocity-vector description correctly represents 9 m/s south?,An arrow pointing south with a length/label representing 9 m/s,An unlabeled dot with no direction,An arrow pointing opposite south with any length,A number 9 with no direction,1
Compare the two velocity vectors. Determine whether the object’s velocity changes from v₁ to v₂ and identify the evidence in the arrows.,"The velocity changes because the vectors differ in magnitude, direction, or both.",Velocity cannot change unless the object stops.,Only arrow color matters.,The vectors always represent the same velocity.,1
"The dots mark equal time intervals. Describe the motion shown, connect the changing spacing to velocity, and critique the claim “equal time intervals always mean constant velocity.”",The object is slowing down; changing dot spacing means the velocity magnitude changes. Equal time intervals do not imply constant velocity.,The object must have constant velocity because times are equal.,"Dot spacing shows mass, not motion.",The diagram gives no information about motion.,1
Which velocity-vector description correctly represents 5 m/s west?,An arrow pointing west with a length/label representing 5 m/s,An unlabeled dot with no direction,An arrow pointing opposite west with any length,A number 5 with no direction,1
Compare the two velocity vectors. Determine whether the object’s velocity changes from v₁ to v₂ and identify the evidence in the arrows.,"The velocity changes because the vectors differ in magnitude, direction, or both.",Velocity cannot change unless the object stops.,Only arrow color matters.,The vectors always represent the same velocity.,1
"The dots mark equal time intervals. Describe the motion shown, connect the changing spacing to velocity, and critique the claim “equal time intervals always mean constant velocity.”",The object is slowing down; changing dot spacing means the velocity magnitude changes. Equal time intervals do not imply constant velocity.,The object must have constant velocity because times are equal.,"Dot spacing shows mass, not motion.",The diagram gives no information about motion.,1
Which velocity-vector description correctly represents 5 m/s west?,An arrow pointing west with a length/label representing 5 m/s,An unlabeled dot with no direction,An arrow pointing opposite west with any length,A number 5 with no direction,1
Compare the two velocity vectors. Determine whether the object’s velocity changes from v₁ to v₂ and identify the evidence in the arrows.,"The velocity changes because the vectors differ in magnitude, direction, or both.",Velocity cannot change unless the object stops.,Only arrow color matters.,The vectors always represent the same velocity.,1
"The dots mark equal time intervals. Describe the motion shown, connect the changing spacing to velocity, and critique the claim “equal time intervals always mean constant velocity.”",The object is slowing down; changing dot spacing means the velocity magnitude changes. Equal time intervals do not imply constant velocity.,The object must have constant velocity because times are equal.,"Dot spacing shows mass, not motion.",The diagram gives no information about motion.,1
Which velocity-vector description correctly represents 7 m/s south?,An arrow pointing south with a length/label representing 7 m/s,An unlabeled dot with no direction,An arrow pointing opposite south with any length,A number 7 with no direction,1
Compare the two velocity vectors. Determine whether the object’s velocity changes from v₁ to v₂ and identify the evidence in the arrows.,"The velocity changes because the vectors differ in magnitude, direction, or both.",Velocity cannot change unless the object stops.,Only arrow color matters.,The vectors always represent the same velocity.,1
"The dots mark equal time intervals. Describe the motion shown, connect the changing spacing to velocity, and critique the claim “equal time intervals always mean constant velocity.”",The object is slowing down; changing dot spacing means the velocity magnitude changes. Equal time intervals do not imply constant velocity.,The object must have constant velocity because times are equal.,"Dot spacing shows mass, not motion.",The diagram gives no information about motion.,1
Which velocity-vector description correctly represents 9 m/s west?,An arrow pointing west with a length/label representing 9 m/s,An unlabeled dot with no direction,An arrow pointing opposite west with any length,A number 9 with no direction,1
Compare the two velocity vectors. Determine whether the object’s velocity changes from v₁ to v₂ and identify the evidence in the arrows.,"The velocity changes because the vectors differ in magnitude, direction, or both.",Velocity cannot change unless the object stops.,Only arrow color matters.,The vectors always represent the same velocity.,1
"The dots mark equal time intervals. Describe the motion shown, connect the changing spacing to velocity, and critique the claim “equal time intervals always mean constant velocity.”",The object is slowing down; changing dot spacing means the velocity magnitude changes. Equal time intervals do not imply constant velocity.,The object must have constant velocity because times are equal.,"Dot spacing shows mass, not motion.",The diagram gives no information about motion.,1
Which velocity-vector description correctly represents 5 m/s south?,An arrow pointing south with a length/label representing 5 m/s,An unlabeled dot with no direction,An arrow pointing opposite south with any length,A number 5 with no direction,1
Compare the two velocity vectors. Determine whether the object’s velocity changes from v₁ to v₂ and identify the evidence in the arrows.,"The velocity changes because the vectors differ in magnitude, direction, or both.",Velocity cannot change unless the object stops.,Only arrow color matters.,The vectors always represent the same velocity.,1
"The dots mark equal time intervals. Describe the motion shown, connect the changing spacing to velocity, and critique the claim “equal time intervals always mean constant velocity.”",The object is slowing down; changing dot spacing means the velocity magnitude changes. Equal time intervals do not imply constant velocity.,The object must have constant velocity because times are equal.,"Dot spacing shows mass, not motion.",The diagram gives no information about motion.,1
Which velocity-vector description correctly represents 7 m/s west?,An arrow pointing west with a length/label representing 7 m/s,An unlabeled dot with no direction,An arrow pointing opposite west with any length,A number 7 with no direction,1
Compare the two velocity vectors. Determine whether the object’s velocity changes from v₁ to v₂ and identify the evidence in the arrows.,"The velocity changes because the vectors differ in magnitude, direction, or both.",Velocity cannot change unless the object stops.,Only arrow color matters.,The vectors always represent the same velocity.,1
