Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer
A cart travels 15 m in 5 s. Calculate its average speed and include units.,3 m/s,20 m/s,15 m/s,5 m/s,1
"During a 12-minute bicycle trip, the rider’s average speed is 8 m/s. At one instant, the speedometer reads 11 m/s. Distinguish the two measurements.",8 m/s describes the whole trip average; 11 m/s is the instantaneous speed at that moment.,Both numbers are instantaneous speeds.,Both numbers are average speeds.,The larger value must be velocity because it is larger.,1
"A robot moves at a steady 10 m/s south. Explain what makes this a velocity description rather than only a speed description, and state what would make the velocity change even if the speed stayed 10 m/s.","It gives both speed (10 m/s) and direction (south). The velocity changes if the direction changes, even if the speed remains 10 m/s.",Velocity is only the number on a speedometer.,Velocity changes only when speed changes.,Direction is irrelevant to velocity.,1
A cart travels 28 m in 7 s. Calculate its average speed and include units.,4 m/s,35 m/s,28 m/s,7 m/s,1
"During a 12-minute bicycle trip, the rider’s average speed is 6 m/s. At one instant, the speedometer reads 9 m/s. Distinguish the two measurements.",6 m/s describes the whole trip average; 9 m/s is the instantaneous speed at that moment.,Both numbers are instantaneous speeds.,Both numbers are average speeds.,The larger value must be velocity because it is larger.,1
"A robot moves at a steady 7 m/s north. Explain what makes this a velocity description rather than only a speed description, and state what would make the velocity change even if the speed stayed 7 m/s.","It gives both speed (7 m/s) and direction (north). The velocity changes if the direction changes, even if the speed remains 7 m/s.",Velocity is only the number on a speedometer.,Velocity changes only when speed changes.,Direction is irrelevant to velocity.,1
A cart travels 28 m in 4 s. Calculate its average speed and include units.,7 m/s,32 m/s,28 m/s,4 m/s,1
"During a 12-minute bicycle trip, the rider’s average speed is 8 m/s. At one instant, the speedometer reads 11 m/s. Distinguish the two measurements.",8 m/s describes the whole trip average; 11 m/s is the instantaneous speed at that moment.,Both numbers are instantaneous speeds.,Both numbers are average speeds.,The larger value must be velocity because it is larger.,1
"A robot moves at a steady 9 m/s south. Explain what makes this a velocity description rather than only a speed description, and state what would make the velocity change even if the speed stayed 9 m/s.","It gives both speed (9 m/s) and direction (south). The velocity changes if the direction changes, even if the speed remains 9 m/s.",Velocity is only the number on a speedometer.,Velocity changes only when speed changes.,Direction is irrelevant to velocity.,1
A cart travels 48 m in 6 s. Calculate its average speed and include units.,8 m/s,54 m/s,48 m/s,6 m/s,1
"During a 12-minute bicycle trip, the rider’s average speed is 6 m/s. At one instant, the speedometer reads 9 m/s. Distinguish the two measurements.",6 m/s describes the whole trip average; 9 m/s is the instantaneous speed at that moment.,Both numbers are instantaneous speeds.,Both numbers are average speeds.,The larger value must be velocity because it is larger.,1
"A robot moves at a steady 6 m/s north. Explain what makes this a velocity description rather than only a speed description, and state what would make the velocity change even if the speed stayed 6 m/s.","It gives both speed (6 m/s) and direction (north). The velocity changes if the direction changes, even if the speed remains 6 m/s.",Velocity is only the number on a speedometer.,Velocity changes only when speed changes.,Direction is irrelevant to velocity.,1
A cart travels 24 m in 8 s. Calculate its average speed and include units.,3 m/s,32 m/s,24 m/s,8 m/s,1
"During a 12-minute bicycle trip, the rider’s average speed is 8 m/s. At one instant, the speedometer reads 11 m/s. Distinguish the two measurements.",8 m/s describes the whole trip average; 11 m/s is the instantaneous speed at that moment.,Both numbers are instantaneous speeds.,Both numbers are average speeds.,The larger value must be velocity because it is larger.,1
"A robot moves at a steady 8 m/s south. Explain what makes this a velocity description rather than only a speed description, and state what would make the velocity change even if the speed stayed 8 m/s.","It gives both speed (8 m/s) and direction (south). The velocity changes if the direction changes, even if the speed remains 8 m/s.",Velocity is only the number on a speedometer.,Velocity changes only when speed changes.,Direction is irrelevant to velocity.,1
A cart travels 20 m in 5 s. Calculate its average speed and include units.,4 m/s,25 m/s,20 m/s,5 m/s,1
"During a 12-minute bicycle trip, the rider’s average speed is 8 m/s. At one instant, the speedometer reads 11 m/s. Distinguish the two measurements.",8 m/s describes the whole trip average; 11 m/s is the instantaneous speed at that moment.,Both numbers are instantaneous speeds.,Both numbers are average speeds.,The larger value must be velocity because it is larger.,1
"A robot moves at a steady 10 m/s north. Explain what makes this a velocity description rather than only a speed description, and state what would make the velocity change even if the speed stayed 10 m/s.","It gives both speed (10 m/s) and direction (north). The velocity changes if the direction changes, even if the speed remains 10 m/s.",Velocity is only the number on a speedometer.,Velocity changes only when speed changes.,Direction is irrelevant to velocity.,1
A cart travels 35 m in 7 s. Calculate its average speed and include units.,5 m/s,42 m/s,35 m/s,7 m/s,1
"During a 12-minute bicycle trip, the rider’s average speed is 6 m/s. At one instant, the speedometer reads 9 m/s. Distinguish the two measurements.",6 m/s describes the whole trip average; 9 m/s is the instantaneous speed at that moment.,Both numbers are instantaneous speeds.,Both numbers are average speeds.,The larger value must be velocity because it is larger.,1
