version_family,versions,question,source_formative_family,section,dok,adaptation_type
V1–V4,1–4,1,u08-dok1-1,8.1,DOK 1,magnetic-pole recognition adaptation
V1–V4,1–4,2,u08-dok1-2,8.1,DOK 1,magnetic-field feature recognition adaptation
V1–V4,1–4,3,u08-dok1-3,8.3,DOK 1,permanent/electromagnet device classification adaptation
V1–V4,1–4,4,u08-dok1-4,8.4–8.5,DOK 1,motor/generator/transformer classification adaptation
V1–V4,1–4,5,u08-dok3-2,8.2,DOK 1,current-produced magnetism recognition adaptation
V1–V4,1–4,6,u08-dok2-1,8.1,DOK 2,magnetic-field pattern interpretation adaptation
V1–V4,1–4,7,u08-dok2-2,8.3,DOK 2,electromagnet strength comparison adaptation
V1–V4,1–4,8,u08-dok2-3,8.3,DOK 2,magnetic-force calculation adaptation
V1–V4,1–4,9,u08-dok2-3,8.3,DOK 2,magnetic-field/inverse formula adaptation
V1–V4,1–4,10,u08-dok2-4,8.4,DOK 2,AC generator graph interpretation adaptation
V1–V4,1–4,11,u08-dok4-4 + Unit 8 formula plan,8.5,DOK 2,transformer/power relationship adaptation
V1–V4,1–4,12,u08-dok3-1,8.1,DOK 3,magnetic-monopole misconception analysis adaptation
V1–V4,1–4,13,u08-dok3-2,8.2,DOK 3,current-to-magnetic-field explanation adaptation
V1–V4,1–4,14,u08-dok3-3,8.3,DOK 3,electromagnet design explanation adaptation
V1–V4,1–4,15,u08-dok3-4,8.4–8.5,DOK 3,generator/energy misconception analysis adaptation
V1–V4,1–4,16,u08-dok4-1/u08-dok4-2/u08-dok4-3/u08-dok4-4,8.3–8.5,DOK 4,evidence/model/design/system critique adaptation
V1–V4,1–4,17,u08-dok2-3 + Unit 8 summative plan,8.3,DOK 2–3,multistep magnetic-force/field formula FR
V1–V4,1–4,18,u08-dok4-4 + Unit 8 summative plan,8.5,DOK 2–3,multistep transformer/power FR
V1–V4,1–4,19,u08-dok3-1/u08-dok3-2/u08-dok3-3,8.1–8.3,DOK 3,field/domain/electromagnet explanation FR
V1–V4,1–4,20,u08-dok3-4/u08-dok4-2/u08-dok4-3/u08-dok4-4,8.4–8.5,DOK 4,generator/modern-system critique CER FR
V5–V6,5–6,1,u08-dok1-1,8.1,DOK 1,magnetic-pole recognition adaptation
V5–V6,5–6,2,u08-dok1-2,8.1,DOK 1,magnetic-field feature recognition adaptation
V5–V6,5–6,3,u08-dok1-3,8.3,DOK 1,permanent/electromagnet device classification adaptation
V5–V6,5–6,4,u08-dok1-4,8.4–8.5,DOK 1,motor/generator/transformer classification adaptation
V5–V6,5–6,5,u08-dok3-2,8.2,DOK 1,current-produced magnetism recognition adaptation
V5–V6,5–6,6,u08-dok2-1,8.1,DOK 2,magnetic-field pattern interpretation adaptation
V5–V6,5–6,7,u08-dok2-2,8.3,DOK 2,electromagnet strength comparison adaptation
V5–V6,5–6,8,u08-dok2-3,8.3,DOK 2,magnetic-force calculation adaptation
V5–V6,5–6,9,u08-dok2-3,8.3,DOK 2,magnetic-field/inverse formula adaptation
V5–V6,5–6,10,u08-dok2-4,8.4,DOK 2,AC generator graph interpretation adaptation
V5–V6,5–6,11,u08-dok4-4 + Unit 8 formula plan,8.5,DOK 2,transformer/power relationship adaptation
V5–V6,5–6,12,u08-dok3-1,8.1,DOK 3,magnetic-monopole misconception analysis adaptation
V5–V6,5–6,13,u08-dok3-2,8.2,DOK 3,current-to-magnetic-field explanation adaptation
V5–V6,5–6,14,u08-dok3-3,8.3,DOK 3,electromagnet design explanation adaptation
V5–V6,5–6,15,u08-dok3-4,8.4–8.5,DOK 3,generator/energy misconception analysis adaptation
V5–V6,5–6,16,u08-dok4-1/u08-dok4-2/u08-dok4-3/u08-dok4-4,8.3–8.5,DOK 4,evidence/model/design/system critique adaptation
V5–V6,5–6,17,u08-dok2-3 + Unit 8 summative plan,8.3,DOK 2–3,multistep magnetic-force/field formula FR
V5–V6,5–6,18,u08-dok4-4 + Unit 8 summative plan,8.5,DOK 2–3,multistep transformer/power FR
V5–V6,5–6,19,u08-dok3-1/u08-dok3-2/u08-dok3-3,8.1–8.3,DOK 3,field/domain/electromagnet explanation FR
V5–V6,5–6,20,u08-dok3-4/u08-dok4-2/u08-dok4-3/u08-dok4-4,8.4–8.5,DOK 4,generator/modern-system critique CER FR
V7–V8,7–8,1,u08-dok1-1,8.1,DOK 1,magnetic-pole recognition adaptation
V7–V8,7–8,2,u08-dok1-2,8.1,DOK 1,magnetic-field feature recognition adaptation
V7–V8,7–8,3,u08-dok1-3,8.3,DOK 1,permanent/electromagnet device classification adaptation
V7–V8,7–8,4,u08-dok1-4,8.4–8.5,DOK 1,motor/generator/transformer classification adaptation
V7–V8,7–8,5,u08-dok3-2,8.2,DOK 1,current-produced magnetism recognition adaptation
V7–V8,7–8,6,u08-dok2-1,8.1,DOK 2,magnetic-field pattern interpretation adaptation
V7–V8,7–8,7,u08-dok2-2,8.3,DOK 2,electromagnet strength comparison adaptation
V7–V8,7–8,8,u08-dok2-3,8.3,DOK 2,magnetic-force calculation adaptation
V7–V8,7–8,9,u08-dok2-3,8.3,DOK 2,magnetic-field/inverse formula adaptation
V7–V8,7–8,10,u08-dok2-4,8.4,DOK 2,AC generator graph interpretation adaptation
V7–V8,7–8,11,u08-dok4-4 + Unit 8 formula plan,8.5,DOK 2,transformer/power relationship adaptation
V7–V8,7–8,12,u08-dok3-1,8.1,DOK 3,magnetic-monopole misconception analysis adaptation
V7–V8,7–8,13,u08-dok3-2,8.2,DOK 3,current-to-magnetic-field explanation adaptation
V7–V8,7–8,14,u08-dok3-3,8.3,DOK 3,electromagnet design explanation adaptation
V7–V8,7–8,15,u08-dok3-4,8.4–8.5,DOK 3,generator/energy misconception analysis adaptation
V7–V8,7–8,16,u08-dok4-1/u08-dok4-2/u08-dok4-3/u08-dok4-4,8.3–8.5,DOK 4,evidence/model/design/system critique adaptation
V7–V8,7–8,17,u08-dok2-3 + Unit 8 summative plan,8.3,DOK 2–3,multistep magnetic-force/field formula FR
V7–V8,7–8,18,u08-dok4-4 + Unit 8 summative plan,8.5,DOK 2–3,multistep transformer/power FR
V7–V8,7–8,19,u08-dok3-1/u08-dok3-2/u08-dok3-3,8.1–8.3,DOK 3,field/domain/electromagnet explanation FR
V7–V8,7–8,20,u08-dok3-4/u08-dok4-2/u08-dok4-3/u08-dok4-4,8.4–8.5,DOK 4,generator/modern-system critique CER FR
