Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,A sensor directly records a value. Which term best classifies that record? (Practice family 01),inference,observation,hypothesis,scientific theory,20,2
2,Which feature makes a claim scientifically testable? (Practice family 10),It sounds reasonable.,It identifies observations or measurements that could count for or against it.,It cannot possibly be measured.,It uses a scientific-sounding word.,20,2
3,Which feature makes a claim scientifically testable? (Practice family 16),It sounds reasonable.,It cannot possibly be measured.,It identifies observations or measurements that could count for or against it.,It uses a scientific-sounding word.,20,3
4,Which feature makes a claim scientifically testable? (Practice family 11),It identifies observations or measurements that could count for or against it.,It sounds reasonable.,It cannot possibly be measured.,It uses a scientific-sounding word.,20,1
5,"Across several trials, d/t has the same value. What explanation is best supported? (Practice family 30)",speed must be increasing,approximately constant average speed,no forces act,the formula cannot compare trials,20,2
6,"Across several trials, d/t has the same value. What explanation is best supported? (Practice family 27)",speed must be increasing,no forces act,approximately constant average speed,the formula cannot compare trials,20,3
7,A sensor directly records a value. Which term best classifies that record? (Practice family 06),observation,inference,hypothesis,scientific theory,20,1
8,"Across several trials, d/t has the same value. What explanation is best supported? (Practice family 17)",speed must be increasing,approximately constant average speed,no forces act,the formula cannot compare trials,20,2
9,"Across several trials, d/t has the same value. What explanation is best supported? (Practice family 23)",speed must be increasing,approximately constant average speed,no forces act,the formula cannot compare trials,20,2
10,"Across several trials, d/t has the same value. What explanation is best supported? (Practice family 20)",speed must be increasing,no forces act,the formula cannot compare trials,approximately constant average speed,20,4
11,"Across several trials, d/t has the same value. What explanation is best supported? (Practice family 22)",approximately constant average speed,speed must be increasing,no forces act,the formula cannot compare trials,20,1
12,"Across several trials, d/t has the same value. What explanation is best supported? (Practice family 19)",approximately constant average speed,speed must be increasing,no forces act,the formula cannot compare trials,20,1
13,"Across several trials, d/t has the same value. What explanation is best supported? (Practice family 25)",approximately constant average speed,speed must be increasing,no forces act,the formula cannot compare trials,20,1
14,A sensor directly records a value. Which term best classifies that record? (Practice family 03),inference,hypothesis,observation,scientific theory,20,3
15,"Across several trials, d/t has the same value. What explanation is best supported? (Practice family 21)",speed must be increasing,no forces act,approximately constant average speed,the formula cannot compare trials,20,3
16,A sensor directly records a value. Which term best classifies that record? (Practice family 04),inference,observation,hypothesis,scientific theory,20,2
17,"Across several trials, d/t has the same value. What explanation is best supported? (Practice family 18)",speed must be increasing,approximately constant average speed,no forces act,the formula cannot compare trials,20,2
18,"Across several trials, d/t has the same value. What explanation is best supported? (Practice family 28)",speed must be increasing,approximately constant average speed,no forces act,the formula cannot compare trials,20,2
19,"Across several trials, d/t has the same value. What explanation is best supported? (Practice family 24)",speed must be increasing,no forces act,the formula cannot compare trials,approximately constant average speed,20,4
20,Which feature makes a claim scientifically testable? (Practice family 15),It identifies observations or measurements that could count for or against it.,It sounds reasonable.,It cannot possibly be measured.,It uses a scientific-sounding word.,20,1
