version,form_group,displayed_item_number,bank_id,blueprint_slot_id,question_family_id,mastery_goal_id,evidence_point_id,learning_target,i_can,practice_standard,item_type,representation,task_architecture,natural_dok,expected_evidence,scoring_reference,calculator_rule,security_level,notes
V1,test_day,1,U2-SUM-V1-Q01,U2-SUM-SLOT01,U2-SUM-TD-FAM01,U2-MG01,U2-EP030,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can explain why an object can be moving relative to one reference frame but not another.,perspective/representation reasoning,selected response,reference-frame narrative,object fixed in moving vehicle; select paired frame descriptions,2,Evidence for U2-MG01: reference-frame interpretation.,Bank data solution/scoring_notes,allowed when computation supports the physics; not required for conceptual items,secure,Blueprint weight 1; same evidence target across all six forms.
V1,test_day,2,U2-SUM-V1-Q02,U2-SUM-SLOT02,U2-SUM-TD-FAM02,U2-MG01,U2-EP031,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can identify the reference frame used in a motion description.,scientific explanation,constructed response,paired-observer narrative,paired observer claims; explain frame dependence,3,Evidence for U2-MG01: compare motion from two viewpoints.,Bank data solution/scoring_notes,allowed when computation supports the physics; not required for conceptual items,secure,Blueprint weight 2; same evidence target across all six forms.
V1,test_day,3,U2-SUM-V1-Q03,U2-SUM-SLOT03,U2-SUM-TD-FAM03,U2-MG02,U2-EP032,"Students will distinguish between speed and velocity and use distance, time, and direction to describe motion.","I can explain that velocity includes both speed and direction and compare examples of constant speed, constant velocity, and changing velocity.",mathematical reasoning,selected response,distance-counter readings,odometer change over elapsed time -> average speed,2,Evidence for U2-MG02: average speed quantitative reasoning.,Bank data solution/scoring_notes,allowed when computation supports the physics; not required for conceptual items,secure,Blueprint weight 1; same evidence target across all six forms.
V1,test_day,4,U2-SUM-V1-Q04,U2-SUM-SLOT04,U2-SUM-TD-FAM04,U2-MG02,U2-EP033,"Students will distinguish between speed and velocity and use distance, time, and direction to describe motion.",I can calculate average speed from distance and time.,representation interpretation,selected response,written motion quantity,magnitude plus direction -> identify velocity,2,Evidence for U2-MG02: distinguish speed and velocity.,Bank data solution/scoring_notes,allowed when computation supports the physics; not required for conceptual items,secure,Blueprint weight 1; same evidence target across all six forms.
V1,test_day,5,U2-SUM-V1-Q05,U2-SUM-SLOT05,U2-SUM-TD-FAM05,U2-MG02,U2-EP034,"Students will distinguish between speed and velocity and use distance, time, and direction to describe motion.",I can distinguish instantaneous speed from average speed.,data interpretation,constructed response,checkpoint data,unequal-time checkpoint data -> compare interval rates and whole-trip average,3,Evidence for U2-MG02: interpret motion data and speed.,Bank data solution/scoring_notes,allowed when computation supports the physics; not required for conceptual items,secure,Blueprint weight 2; same evidence target across all six forms.
V1,test_day,6,U2-SUM-V1-Q06,U2-SUM-SLOT06,U2-SUM-TD-FAM06,U2-MG03,U2-EP035,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",mathematical reasoning,selected response,velocity-time data,three-point velocity record -> infer constant acceleration,2,Evidence for U2-MG03: calculate acceleration.,Bank data solution/scoring_notes,allowed when computation supports the physics; not required for conceptual items,secure,Blueprint weight 1; same evidence target across all six forms.
V1,test_day,7,U2-SUM-V1-Q07,U2-SUM-SLOT07,U2-SUM-TD-FAM07,U2-MG03,U2-EP036,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.",I can calculate acceleration from change in velocity and time.,representation reasoning,selected response,signed velocity narrative,positive velocity decreases; infer acceleration sign and speed trend,2,Evidence for U2-MG03: reason about velocity sign direction and acceleration.,Bank data solution/scoring_notes,allowed when computation supports the physics; not required for conceptual items,secure,Blueprint weight 1; same evidence target across all six forms.
V1,test_day,8,U2-SUM-V1-Q08,U2-SUM-SLOT08,U2-SUM-TD-FAM08,U2-MG03,U2-EP037,Students will describe free fall as motion under the influence of gravity alone and use simple free-fall relationships to determine speed or distance fallen.,I can use $g \approx 10\text{ m/s}^2$ to determine speed gained during free fall.,mathematical reasoning,selected response,free-fall equation,free fall from rest; v=gt,2,Evidence for U2-MG03: apply ideal free-fall relationship.,Bank data solution/scoring_notes,allowed when computation supports the physics; not required for conceptual items,secure,Blueprint weight 1; same evidence target across all six forms.
V1,test_day,9,U2-SUM-V1-Q09,U2-SUM-SLOT09,U2-SUM-TD-FAM09,U2-MG03,U2-EP038,Students will describe free fall as motion under the influence of gravity alone and use simple free-fall relationships to determine speed or distance fallen.,I can use free-fall patterns to compare distance fallen during different time intervals and distinguish free fall from falling with significant air resistance.,model evaluation; explanation,constructed response,phenomenon evidence,falling object reaches near-constant speed; evaluate ideal model,3,Evidence for U2-MG03: evaluate free-fall model and air resistance.,Bank data solution/scoring_notes,allowed when computation supports the physics; not required for conceptual items,secure,Blueprint weight 2; same evidence target across all six forms.
V1,test_day,10,U2-SUM-V1-Q10,U2-SUM-SLOT10,U2-SUM-TD-FAM10,U2-MG04,U2-EP039,"Students will use velocity vectors, motion diagrams, and simple graphs to model and explain the motion of objects.",I can represent velocity with arrows that show both speed and direction.,representation translation,selected response,velocity vectors,equal vector length with changed direction,2,Evidence for U2-MG04: interpret velocity vectors.,Bank data solution/scoring_notes,allowed when computation supports the physics; not required for conceptual items,secure,Blueprint weight 1; same evidence target across all six forms.
V1,test_day,11,U2-SUM-V1-Q11,U2-SUM-SLOT11,U2-SUM-TD-FAM11,U2-MG04,U2-EP040,"Students will use velocity vectors, motion diagrams, and simple graphs to model and explain the motion of objects.",I can compare velocity vectors to determine whether an object’s velocity is changing.,develop/use models; representation translation,constructed response,position table | position-time graph | motion diagram,linear position table -> graph and motion diagram,3,Evidence for U2-MG04: connect table diagram and graph.,Bank data solution/scoring_notes,allowed when computation supports the physics; not required for conceptual items,secure,Blueprint weight 2; same evidence target across all six forms.
V1,test_day,12,U2-SUM-V1-Q12,U2-SUM-SLOT12,U2-SUM-TD-FAM12,U2-MG04 | U2-MG03,U2-EP041 | U2-EP042,"Students will use velocity vectors, motion diagrams, and simple graphs to model and explain the motion of objects.","I can connect motion diagrams, data tables, and graphs to written descriptions of motion and critique an incorrect motion model and revise it using evidence.",argument from evidence; model critique,constructed response,motion diagram | velocity vectors,increasing dot spacing versus equal velocity arrows; critique and revise,3,"Evidence for U2-MG04, U2-MG03: critique and revise a multi-representation motion model.",Bank data solution/scoring_notes,allowed when computation supports the physics; not required for conceptual items,secure,Blueprint weight 3; same evidence target across all six forms.
V2,test_day,1,U2-SUM-V2-Q01,U2-SUM-SLOT04,U2-SUM-TD-FAM04,U2-MG02,U2-EP043,"Students will distinguish between speed and velocity and use distance, time, and direction to describe motion.",I can calculate average speed from distance and time.,representation interpretation,selected response,written motion quantity,magnitude plus direction -> identify velocity,2,Evidence for U2-MG02: distinguish speed and velocity.,Bank data solution/scoring_notes,allowed when computation supports the physics; not required for conceptual items,secure,Blueprint weight 1; same evidence target across all six forms.
