"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What is the primary function of a transformer?,create free power from magnets,change voltage while transferring electrical energy through coupled coils,store charge indefinitely,convert motion directly to electrical energy,30,2
2,The input-side transformer coil is called the,secondary coil,generator rotor,motor coil,primary coil,30,4
3,The turn ratio has $N_s>N_p$. Which transformer classification follows?,step-up,a generator,step-down,a motor,30,1
4,Which relationship describes an ideal transformer’s power most closely?,$P_{out}$ is unlimited,$P_{out}=2P_{in}$ always,$P_{in}pprox P_{out}$,$P_{in}=0$,30,3
5,Which device converts electrical energy mainly into mechanical rotation?,motor,generator,transformer,microphone,30,1
6,"A transformer has $N_p=100$, $N_s=500$, and $V_p=12\text{ V}$. What is $V_s$?",2.4 V,12 V,60 V,500 V,45,3
7,A transformer has 800 primary turns and 200 secondary turns. Which description is correct?,Turns have no relation to voltage.,It must have equal voltage on both sides.,It is step-up because the primary has more turns.,It is step-down because the secondary has fewer turns.,45,4
8,A 24 V device draws 3 A. What power does it use?,0.125 W,72 W,27 W,8 W,45,2
9,An ideal transformer receives 150 W of input power. What output power is expected approximately?,0 W,75 W,150 W,300 W,45,3
10,An ideal transformer raises voltage while transferring about the same power. What happens to current?,It decreases.,It becomes unlimited.,It must stay identical.,It increases by the same factor.,45,1
11,A website says a step-up transformer creates energy because its voltage rises. Which response is best?,Higher voltage always means higher total energy with no tradeoff.,Voltage can rise while current falls; ideal input and output power remain approximately equal.,The iron core supplies extra energy.,Transformers are exempt from energy conservation.,60,2
12,A “magnet-powered” generator claims to run forever with no mechanical or electrical input. What is the strongest critique?,Energy conservation applies only to nonmagnetic systems.,Strong magnets are known unlimited fuels.,Generators do not need motion.,The claim lacks an energy source and must be tested with complete input/output energy measurements.,60,4
13,Which device converts mechanical motion into electrical energy?,motor,speaker,transformer,generator,30,4
14,Which device can convert sound-driven diaphragm motion into an electrical signal?,motor,microphone,step-up transformer,speaker,45,2
15,Which system uses controlled magnetic forces to reduce contact with a track?,generator only,compass,maglev,transformer,45,3
16,Why can a transformer transfer energy between electrically separate coils?,A changing magnetic field links the coils and induces voltage in the secondary.,The coils share one continuous wire.,Charge jumps directly through the iron core.,Permanent magnets provide free energy.,45,1
17,A 120 V primary has 600 turns; the secondary has 300 turns. What is the secondary voltage?,120 V,60 V,240 V,30 V,45,2
18,A transformer output is 40 V at 2 A. What is the output power?,80 W,20 W,42 W,0.05 W,45,1
19,Which comparison between speaker and microphone is most accurate?,Both convert mechanical input to electrical output in the same direction.,Both only increase voltage.,They are unrelated devices.,They use related electromagnetic interactions with opposite directions of energy/signal conversion.,60,4
20,What evidence would best evaluate a claim that an electromagnetic device produces more energy than it receives?,a video showing motion without measurements,the number of magnets,careful measurements of total input and total output energy/power over time,the size of the coils alone,60,3
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
