"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,Answer 3 (Optional),Answer 4 (Optional),Time Limit (sec) (Max: 300 seconds),Correct Answer(s) (Only include Answer #)
1,What must a sound source do?,Vibrate,Remain perfectly still,Create a vacuum,Move every medium particle to the listener,30,1
2,A high-density region in a longitudinal sound wave is a,rarefaction,compression,crest,node only,30,2
3,Sound is called mechanical because it,can travel through a perfect vacuum,is always transverse,requires matter to transmit the disturbance,has no energy,30,3
4,Can ordinary sound travel through a perfect vacuum?,"Yes, at 340 m/s","Yes, but only if loud",Only if frequency is high,No,30,4
5,Which property primarily determines pitch?,Frequency,Amplitude,Mass of the listener,Travel distance,30,1
6,A sound pulse travels 680 m in 2 s. What is its speed?,1360 m/s,340 m/s,170 m/s,682 m/s,45,2
7,"At 340 m/s, how long does sound take to travel 1020 m?",0.33 s,340 s,3 s,1020 s,45,3
8,Two tones have the same frequency but one has greater amplitude. What mainly differs?,Pitch,Need for a medium,Wave type,Loudness,45,4
9,Why can sound travel through a metal rail?,Atoms in the solid can vibrate and transfer the disturbance to neighbors.,The rail particles flow from one end to the other.,Solids are actually vacuums inside.,Sound becomes light inside solids.,45,1
10,Which description best fits particle motion in air as sound passes?,The same air particles travel from source to listener.,Particles oscillate near local positions while compressions and rarefactions propagate.,Particles remain perfectly motionless.,Air particles move only perpendicular to the wave direction.,45,2
11,A movie explosion is heard by astronauts outside in empty space. What is the best critique?,Sound should be louder in vacuum.,The sound would travel faster because there is no air resistance.,Direct sound would not cross the vacuum because no medium is present.,Vacuum makes every mechanical wave transverse.,60,3
12,A student says louder means higher pitch. Which correction is best?,Loudness and pitch are both determined only by frequency.,Pitch depends only on amplitude.,Neither loudness nor pitch relates to wave properties.,Loudness mainly tracks amplitude while pitch mainly tracks frequency.,60,4
13,A rarefaction is a region of,lower particle density/pressure,higher particle density only,maximum transverse displacement,no medium,30,1
14,What does the medium do in a sound wave?,It travels as one bulk object to the listener.,Its particles vibrate and pass the disturbance onward.,It disappears behind the wave.,It changes the source frequency automatically.,30,2
15,Which can carry sound?,A perfect vacuum,Only empty space,Liquid water,No solid material,30,3
16,"If frequency increases while amplitude stays the same, the sound is generally",louder with identical pitch,slower in every medium,unable to travel,higher-pitched with similar loudness,45,4
17,A louder tone at the same frequency has,greater amplitude,shorter period because loudness changed,a different wave type,no extra energy,45,1
18,Why is sound speed not one universal value for all materials?,Frequency disappears in solids.,Wave propagation depends on properties of the medium.,Amplitude sets a universal speed.,Sound is not a wave in liquids.,45,2
19,Which evidence best refutes the claim that sound particles travel from source to receiver?,A sound has a measurable pitch.,The source can be loud.,A marked material particle oscillates about a local position as the disturbance passes.,The listener is far away.,60,3
20,A flash is seen before thunder is heard. Which sound idea is used to estimate storm distance?,Beat frequency,Standing-wave nodes,Destructive interference only,Travel time with an approximate sound speed,45,4
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
