"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,Which sentence is the best everyday statement of Newton’s First Law?,Motion stays unchanged unless a nonzero net force acts.,Moving objects always require a forward force.,Objects at rest have no forces.,Inertia is the force that keeps motion going.,30,1
2,Inertia is,a push or pull,a property of matter that resists changes in motion,the vector sum of forces,the force of motion,30,2
3,A book rests on a table. Which two main vertical forces act on the book?,tension down and friction up,inertia down and net force up,weight down and support force up,support force down and weight up,30,3
4,Which phrase means that forces may be present but their vector sum is zero?,no forces,changing motion,inertia force,no net force,30,4
5,A cart moves straight at constant speed. Its net force is,zero,forward,backward,equal to its speed,30,1
6,A quick tablecloth pull leaves dishes nearly in place mainly because,inertia is a backward force,the dishes tend to maintain their state of rest while the cloth’s interaction is brief,gravity disappears,the dishes have zero mass,45,2
7,A loaded cart is harder to start than an empty cart under similar pushes because the loaded cart has,less weight,less net force in every situation,more inertia,a stronger inertia force,45,3
8,A puck slows while sliding. What does the slowdown show?,Its net force is zero.,No forces act.,Its inertia is decreasing.,A nonzero net force acts during the change in motion.,45,4
9,A person stands still on a scale that reads 600 N. Which interpretation is best?,The scale measures an upward support force that can balance weight.,The net force is 600 N upward.,The person has no weight.,The scale measures inertia.,45,1
10,Why is “no forces” different from “no net force”?,No forces means the forces are equal.,No net force allows individual forces that cancel.,No net force means only gravity acts.,They mean the same thing.,45,2
11,"A student says, “A moving ball needs a forward force to keep going.” Which correction is best?",A forward force is required only at high speed.,Inertia supplies the missing forward force.,"If net force is zero, the ball can continue with unchanged velocity; force is needed to change motion.",Weight becomes a forward force while the ball moves.,60,3
12,A bus brakes and a passenger tends to keep moving forward. Which explanation is strongest?,Inertia pushes the passenger forward.,Gravity pulls the passenger forward.,The net force on the passenger must remain zero.,The passenger tends to continue the original motion until interactions with the bus change it.,60,4
13,"If an object is at rest and net force stays zero, it will",remain at rest,begin moving,speed up,turn,30,1
14,"If an object moves east at constant speed and net force stays zero, it will",stop,continue east at the same speed,turn north,speed up east,30,2
15,Which statement about inertia is false?,It is a property of matter.,More matter means more inertia.,It is itself a force arrow.,It describes resistance to motion change.,30,3
16,Which object has more inertia?,a 2-kg cart at 5 m/s,they are equal because one is moving,cannot be compared because inertia depends only on speed,a 6-kg cart at rest,30,4
17,A lamp hangs motionless from a cable. Which statement is most accurate?,Tension and weight can balance so net force is zero.,No forces act on it.,Only tension acts.,Only weight acts.,45,1
18,Which situation best represents literally no forces acting?,a book on a table,a hypothetical object with no interactions at all,a hanging sign,a person standing on a floor,45,2
19,The gravitational force on an object near Earth is called,support force,tension,weight,friction,30,3
20,The upward contact force from a table on a book is called,weight,inertia,net force,support force,30,4
