Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer
Two compact objects of masses 3 kg and 7 kg are dropped together in a vacuum from the same height. Predict their accelerations and explain why one does not “fall faster” simply because it is heavier.,"Both accelerate downward at the same gravitational acceleration, about 10 m/s², when air resistance is ignored.",The heavier object has five times the acceleration.,The lighter object accelerates faster.,Both have zero acceleration once released.,1
"An object starts from rest and falls freely for 1 s. Using g ≈ 10 m/s², determine the speed gained.",about 10 m/s downward,about 1 m/s downward,about 11 m/s downward,about 10 m/s upward,1
Use the ideal free-fall table to compare how distance fallen changes from one second to the next. Then explain why a sheet of paper falling through air may not follow this pattern.,Distance increases by progressively larger amounts because speed is increasing; a sheet of paper can deviate because air resistance is significant.,"Equal distances are covered each second, and air has no effect.",Distance decreases each second because gravity weakens.,Any falling object must exactly match the table.,1
Two compact objects of masses 2 kg and 6 kg are dropped together in a vacuum from the same height. Predict their accelerations and explain why one does not “fall faster” simply because it is heavier.,"Both accelerate downward at the same gravitational acceleration, about 10 m/s², when air resistance is ignored.",The heavier object has five times the acceleration.,The lighter object accelerates faster.,Both have zero acceleration once released.,1
"An object starts from rest and falls freely for 3 s. Using g ≈ 10 m/s², determine the speed gained.",about 30 m/s downward,about 3 m/s downward,about 13 m/s downward,about 30 m/s upward,1
Use the ideal free-fall table to compare how distance fallen changes from one second to the next. Then explain why a sheet of paper falling through air may not follow this pattern.,Distance increases by progressively larger amounts because speed is increasing; a sheet of paper can deviate because air resistance is significant.,"Equal distances are covered each second, and air has no effect.",Distance decreases each second because gravity weakens.,Any falling object must exactly match the table.,1
Two compact objects of masses 2 kg and 6 kg are dropped together in a vacuum from the same height. Predict their accelerations and explain why one does not “fall faster” simply because it is heavier.,"Both accelerate downward at the same gravitational acceleration, about 10 m/s², when air resistance is ignored.",The heavier object has five times the acceleration.,The lighter object accelerates faster.,Both have zero acceleration once released.,1
"An object starts from rest and falls freely for 5 s. Using g ≈ 10 m/s², determine the speed gained.",about 50 m/s downward,about 5 m/s downward,about 15 m/s downward,about 50 m/s upward,1
Use the ideal free-fall table to compare how distance fallen changes from one second to the next. Then explain why a sheet of paper falling through air may not follow this pattern.,Distance increases by progressively larger amounts because speed is increasing; a sheet of paper can deviate because air resistance is significant.,"Equal distances are covered each second, and air has no effect.",Distance decreases each second because gravity weakens.,Any falling object must exactly match the table.,1
Two compact objects of masses 1 kg and 5 kg are dropped together in a vacuum from the same height. Predict their accelerations and explain why one does not “fall faster” simply because it is heavier.,"Both accelerate downward at the same gravitational acceleration, about 10 m/s², when air resistance is ignored.",The heavier object has five times the acceleration.,The lighter object accelerates faster.,Both have zero acceleration once released.,1
"An object starts from rest and falls freely for 2 s. Using g ≈ 10 m/s², determine the speed gained.",about 20 m/s downward,about 2 m/s downward,about 12 m/s downward,about 20 m/s upward,1
Use the ideal free-fall table to compare how distance fallen changes from one second to the next. Then explain why a sheet of paper falling through air may not follow this pattern.,Distance increases by progressively larger amounts because speed is increasing; a sheet of paper can deviate because air resistance is significant.,"Equal distances are covered each second, and air has no effect.",Distance decreases each second because gravity weakens.,Any falling object must exactly match the table.,1
Two compact objects of masses 3 kg and 7 kg are dropped together in a vacuum from the same height. Predict their accelerations and explain why one does not “fall faster” simply because it is heavier.,"Both accelerate downward at the same gravitational acceleration, about 10 m/s², when air resistance is ignored.",The heavier object has five times the acceleration.,The lighter object accelerates faster.,Both have zero acceleration once released.,1
"An object starts from rest and falls freely for 4 s. Using g ≈ 10 m/s², determine the speed gained.",about 40 m/s downward,about 4 m/s downward,about 14 m/s downward,about 40 m/s upward,1
Use the ideal free-fall table to compare how distance fallen changes from one second to the next. Then explain why a sheet of paper falling through air may not follow this pattern.,Distance increases by progressively larger amounts because speed is increasing; a sheet of paper can deviate because air resistance is significant.,"Equal distances are covered each second, and air has no effect.",Distance decreases each second because gravity weakens.,Any falling object must exactly match the table.,1
Two compact objects of masses 2 kg and 6 kg are dropped together in a vacuum from the same height. Predict their accelerations and explain why one does not “fall faster” simply because it is heavier.,"Both accelerate downward at the same gravitational acceleration, about 10 m/s², when air resistance is ignored.",The heavier object has five times the acceleration.,The lighter object accelerates faster.,Both have zero acceleration once released.,1
"An object starts from rest and falls freely for 1 s. Using g ≈ 10 m/s², determine the speed gained.",about 10 m/s downward,about 1 m/s downward,about 11 m/s downward,about 10 m/s upward,1
Use the ideal free-fall table to compare how distance fallen changes from one second to the next. Then explain why a sheet of paper falling through air may not follow this pattern.,Distance increases by progressively larger amounts because speed is increasing; a sheet of paper can deviate because air resistance is significant.,"Equal distances are covered each second, and air has no effect.",Distance decreases each second because gravity weakens.,Any falling object must exactly match the table.,1
Two compact objects of masses 1 kg and 5 kg are dropped together in a vacuum from the same height. Predict their accelerations and explain why one does not “fall faster” simply because it is heavier.,"Both accelerate downward at the same gravitational acceleration, about 10 m/s², when air resistance is ignored.",The heavier object has five times the acceleration.,The lighter object accelerates faster.,Both have zero acceleration once released.,1
"An object starts from rest and falls freely for 3 s. Using g ≈ 10 m/s², determine the speed gained.",about 30 m/s downward,about 3 m/s downward,about 13 m/s downward,about 30 m/s upward,1
