version_family,versions,question,source_formative_family,section,dok,adaptation_type
V1–V4,1–4,1,u06-dok1-1,6.1,DOK 1,light-interaction recognition/adaptation
V1–V4,1–4,2,u06-dok1-2,6.2,DOK 1,reflection vocabulary/diagram recognition
V1–V4,1–4,3,u06-dok1-3,6.2–6.3,DOK 1,reflection-vs-refraction classification
V1–V4,1–4,4,u06-dok1-4,6.4,DOK 1,lens/image vocabulary recognition
V1–V4,1–4,5,u06-dok1-1 + Unit 6 notes/plan,6.1,DOK 1,light/material/vision/EM relationship recognition
V1–V4,1–4,6,u06-dok2-1,6.2,DOK 2,law-of-reflection calculation/interpretation
V1–V4,1–4,7,u06-dok2-2,6.3,DOK 2,index-speed calculation/ranking
V1–V4,1–4,8,u06-dok2-3,6.3,DOK 2,refraction bending-direction interpretation
V1–V4,1–4,9,u06-dok2-4,6.4,DOK 2,lens ray-diagram/image interpretation
V1–V4,1–4,10,u06-dok2-2 + Unit 6 summative formula requirement,6.1,DOK 2,wave-speed/light-travel formula application
V1–V4,1–4,11,u06-dok2-2/u06-dok2-4 + Unit 6 summative formula requirement,6.3–6.4,DOK 2,critical-angle/Snell/lens/magnification formula application
V1–V4,1–4,12,u06-dok3-1,6.2,DOK 3,mirror-image misconception analysis
V1–V4,1–4,13,u06-dok3-2,6.3,DOK 3,apparent-position/refraction causal reasoning
V1–V4,1–4,14,u06-dok3-3,6.3,DOK 3,dispersion/rainbow model explanation
V1–V4,1–4,15,u06-dok3-4,6.5,DOK 3,corrective-lens reasoning
V1–V4,1–4,16,u06-dok4-1/u06-dok4-2/u06-dok4-3/u06-dok4-4,6.2–6.5,DOK 4,evidence/model/design/claim evaluation
V1–V4,1–4,17,u06-dok2-2 + Unit 6 summative plan,6.1–6.3,DOK 2–3,wave/light-speed multistep formula FR
V1–V4,1–4,18,u06-dok2-1/u06-dok4-3/u06-dok2-4 + Unit 6 summative plan,6.2–6.4,DOK 2–3,reflection/refraction/critical-angle/lens formula FR
V1–V4,1–4,19,u06-dok3-1/u06-dok3-2/u06-dok3-3/u06-dok3-4/u06-dok4-1,6.2–6.5,DOK 3,ray/image/refraction/lens model explanation FR
V1–V4,1–4,20,u06-dok4-1/u06-dok4-2/u06-dok4-3/u06-dok4-4,6.2–6.5,DOK 4,context-rich optics critique/design/CER FR
V5–V6,5–6,1,u06-dok1-1,6.1,DOK 1,light-interaction recognition/adaptation
V5–V6,5–6,2,u06-dok1-2,6.2,DOK 1,reflection vocabulary/diagram recognition
V5–V6,5–6,3,u06-dok1-3,6.2–6.3,DOK 1,reflection-vs-refraction classification
V5–V6,5–6,4,u06-dok1-4,6.4,DOK 1,lens/image vocabulary recognition
V5–V6,5–6,5,u06-dok1-1 + Unit 6 notes/plan,6.1,DOK 1,light/material/vision/EM relationship recognition
V5–V6,5–6,6,u06-dok2-1,6.2,DOK 2,law-of-reflection calculation/interpretation
V5–V6,5–6,7,u06-dok2-2,6.3,DOK 2,index-speed calculation/ranking
V5–V6,5–6,8,u06-dok2-3,6.3,DOK 2,refraction bending-direction interpretation
V5–V6,5–6,9,u06-dok2-4,6.4,DOK 2,lens ray-diagram/image interpretation
V5–V6,5–6,10,u06-dok2-2 + Unit 6 summative formula requirement,6.1,DOK 2,wave-speed/light-travel formula application
V5–V6,5–6,11,u06-dok2-2/u06-dok2-4 + Unit 6 summative formula requirement,6.3–6.4,DOK 2,critical-angle/Snell/lens/magnification formula application
V5–V6,5–6,12,u06-dok3-1,6.2,DOK 3,mirror-image misconception analysis
V5–V6,5–6,13,u06-dok3-2,6.3,DOK 3,apparent-position/refraction causal reasoning
V5–V6,5–6,14,u06-dok3-3,6.3,DOK 3,dispersion/rainbow model explanation
V5–V6,5–6,15,u06-dok3-4,6.5,DOK 3,corrective-lens reasoning
V5–V6,5–6,16,u06-dok4-1/u06-dok4-2/u06-dok4-3/u06-dok4-4,6.2–6.5,DOK 4,evidence/model/design/claim evaluation
V5–V6,5–6,17,u06-dok2-2 + Unit 6 summative plan,6.1–6.3,DOK 2–3,wave/light-speed multistep formula FR
V5–V6,5–6,18,u06-dok2-1/u06-dok4-3/u06-dok2-4 + Unit 6 summative plan,6.2–6.4,DOK 2–3,reflection/refraction/critical-angle/lens formula FR
V5–V6,5–6,19,u06-dok3-1/u06-dok3-2/u06-dok3-3/u06-dok3-4/u06-dok4-1,6.2–6.5,DOK 3,ray/image/refraction/lens model explanation FR
V5–V6,5–6,20,u06-dok4-1/u06-dok4-2/u06-dok4-3/u06-dok4-4,6.2–6.5,DOK 4,context-rich optics critique/design/CER FR
V7–V8,7–8,1,u06-dok1-1,6.1,DOK 1,light-interaction recognition/adaptation
V7–V8,7–8,2,u06-dok1-2,6.2,DOK 1,reflection vocabulary/diagram recognition
V7–V8,7–8,3,u06-dok1-3,6.2–6.3,DOK 1,reflection-vs-refraction classification
V7–V8,7–8,4,u06-dok1-4,6.4,DOK 1,lens/image vocabulary recognition
V7–V8,7–8,5,u06-dok1-1 + Unit 6 notes/plan,6.1,DOK 1,light/material/vision/EM relationship recognition
V7–V8,7–8,6,u06-dok2-1,6.2,DOK 2,law-of-reflection calculation/interpretation
V7–V8,7–8,7,u06-dok2-2,6.3,DOK 2,index-speed calculation/ranking
V7–V8,7–8,8,u06-dok2-3,6.3,DOK 2,refraction bending-direction interpretation
V7–V8,7–8,9,u06-dok2-4,6.4,DOK 2,lens ray-diagram/image interpretation
V7–V8,7–8,10,u06-dok2-2 + Unit 6 summative formula requirement,6.1,DOK 2,wave-speed/light-travel formula application
V7–V8,7–8,11,u06-dok2-2/u06-dok2-4 + Unit 6 summative formula requirement,6.3–6.4,DOK 2,critical-angle/Snell/lens/magnification formula application
V7–V8,7–8,12,u06-dok3-1,6.2,DOK 3,mirror-image misconception analysis
V7–V8,7–8,13,u06-dok3-2,6.3,DOK 3,apparent-position/refraction causal reasoning
V7–V8,7–8,14,u06-dok3-3,6.3,DOK 3,dispersion/rainbow model explanation
V7–V8,7–8,15,u06-dok3-4,6.5,DOK 3,corrective-lens reasoning
V7–V8,7–8,16,u06-dok4-1/u06-dok4-2/u06-dok4-3/u06-dok4-4,6.2–6.5,DOK 4,evidence/model/design/claim evaluation
V7–V8,7–8,17,u06-dok2-2 + Unit 6 summative plan,6.1–6.3,DOK 2–3,wave/light-speed multistep formula FR
V7–V8,7–8,18,u06-dok2-1/u06-dok4-3/u06-dok2-4 + Unit 6 summative plan,6.2–6.4,DOK 2–3,reflection/refraction/critical-angle/lens formula FR
V7–V8,7–8,19,u06-dok3-1/u06-dok3-2/u06-dok3-3/u06-dok3-4/u06-dok4-1,6.2–6.5,DOK 3,ray/image/refraction/lens model explanation FR
V7–V8,7–8,20,u06-dok4-1/u06-dok4-2/u06-dok4-3/u06-dok4-4,6.2–6.5,DOK 4,context-rich optics critique/design/CER FR
