"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,Mechanical equilibrium means,net force is zero,no forces act,the object is always at rest,weight is zero,30,1
2,A book resting on a table is,dynamic equilibrium,static equilibrium,not equilibrium,changing motion,30,2
3,A train moving straight at steady speed is,static equilibrium,not equilibrium,dynamic equilibrium,accelerating,30,3
4,The equilibrium rule is,$W=mg$,$F=ma$,$d=vt$,$\Sigma F=0$,30,4
5,A resting object can have forces acting if,they balance to zero net force,inertia is a force,gravity is absent,all forces point the same way,30,1
6,A 130-N sign hangs from one vertical cable at rest. Tension?,65 N,130 N,260 N,0 N,45,2
7,A cart is held still by 44 N right. Needed left force?,22 N,88 N,44 N,0 N,45,3
8,"A 50-kg person stands on a scale. Use $g=10\,\text{N/kg}$. Support force?",50 N,5 N,0 N,500 N,45,4
9,A car moves straight at constant speed with 300 N forward. Backward resistance?,300 N,0 N,150 N,600 N,45,1
10,A 600-N load has one support of 225 N. Second support?,225 N,375 N,600 N,825 N,45,2
11,A student says a moving object cannot be in equilibrium. Best correction?,Only very slow objects can.,Motion always means net force forward.,Constant straight-line motion can be dynamic equilibrium when net force is zero.,Equilibrium means no forces.,60,3
12,A scale reads 700 N for a person standing still. Best explanation?,Net force is 700 N up.,Weight is zero.,Inertia supplies 700 N down.,"The scale measures support force, which balances about 700 N of weight so net force is zero.",60,4
13,Which is static equilibrium?,a motionless book on a desk,a speeding car,a turning cyclist,a falling ball,30,1
14,Which is dynamic equilibrium?,a parked bicycle,a cart moving straight at constant speed,a car braking,a runner turning,30,2
15,Why can a resting box have nonzero individual forces?,Rest means force is stored.,Inertia creates equal forces.,They can cancel in the vector sum.,Weight vanishes.,45,3
16,A standing person has which main vertical pair?,tension down and friction up,inertia down and motion up,net force down and weight up,weight down and support force up,45,4
17,A boat travels north straight at steady speed. Net force?,zero,north,south,upward,45,1
18,"If a cart in dynamic equilibrium begins speeding up, what changed?",Its mass became zero.,Its net force became nonzero.,All forces disappeared.,Its weight became forward.,45,2
19,"For vertical equilibrium with 260 N downward, total upward force must be",130 N,520 N,260 N,0 N,45,3
20,"Two vertical supports hold a 480-N load. If one gives 200 N, the other gives",200 N,240 N,480 N,280 N,45,4
