Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer
Ari walks toward the front of a train moving east at 12 m/s. Ari walks east at 1 m/s relative to the train. Explain how Ari can have one velocity relative to the train and a different velocity relative to the ground.,Ari must have the same velocity in every frame.,The train is the only valid frame.,Changing reference frame changes the object’s mass.,"Relative to the train, Ari moves east at 1 m/s; relative to the ground, Ari moves east at 13 m/s. Motion depends on the chosen reference frame.",4
"A description says, “The book stays beside Zoe on the seat while roadside signs move backward past the window.” Identify the reference frame used when the book is described as staying beside Zoe, and cite the cue.",the roadside signs,the object by itself,no frame is needed,the vehicle/passenger frame,4
A rider on a train says a bag on the floor is at rest. An observer standing on the ground says the bag is moving with the train. Compare the two descriptions and explain why Earth’s surface is a convenient frame for everyday travel.,Only the rider can be correct.,Only the ground observer can be correct.,Both must measure zero speed.,"Both descriptions can be correct because they use different reference frames. Earth’s surface is a stable, shared everyday reference frame for locations and travel.",4
Mina walks toward the front of a train moving east at 10 m/s. Mina walks east at 2 m/s relative to the train. Explain how Mina can have one velocity relative to the train and a different velocity relative to the ground.,Mina must have the same velocity in every frame.,The train is the only valid frame.,Changing reference frame changes the object’s mass.,"Relative to the train, Mina moves east at 2 m/s; relative to the ground, Mina moves east at 12 m/s. Motion depends on the chosen reference frame.",4
"A description says, “The cup stays beside Nia on the seat while roadside signs move backward past the window.” Identify the reference frame used when the cup is described as staying beside Nia, and cite the cue.",the roadside signs,the object by itself,no frame is needed,the vehicle/passenger frame,4
A rider on a bus says a bag on the floor is at rest. An observer standing on the ground says the bag is moving with the bus. Compare the two descriptions and explain why Earth’s surface is a convenient frame for everyday travel.,Only the rider can be correct.,Only the ground observer can be correct.,Both must measure zero speed.,"Both descriptions can be correct because they use different reference frames. Earth’s surface is a stable, shared everyday reference frame for locations and travel.",4
Sam walks toward the front of a train moving east at 10 m/s. Sam walks east at 2 m/s relative to the train. Explain how Sam can have one velocity relative to the train and a different velocity relative to the ground.,Sam must have the same velocity in every frame.,The train is the only valid frame.,Changing reference frame changes the object’s mass.,"Relative to the train, Sam moves east at 2 m/s; relative to the ground, Sam moves east at 12 m/s. Motion depends on the chosen reference frame.",4
"A description says, “The book stays beside Kai on the seat while roadside signs move backward past the window.” Identify the reference frame used when the book is described as staying beside Kai, and cite the cue.",the roadside signs,the object by itself,no frame is needed,the vehicle/passenger frame,4
A rider on a ferry says a bag on the floor is at rest. An observer standing on the ground says the bag is moving with the ferry. Compare the two descriptions and explain why Earth’s surface is a convenient frame for everyday travel.,Only the rider can be correct.,Only the ground observer can be correct.,Both must measure zero speed.,"Both descriptions can be correct because they use different reference frames. Earth’s surface is a stable, shared everyday reference frame for locations and travel.",4
Ari walks toward the front of a train moving east at 8 m/s. Ari walks east at 3 m/s relative to the train. Explain how Ari can have one velocity relative to the train and a different velocity relative to the ground.,Ari must have the same velocity in every frame.,The train is the only valid frame.,Changing reference frame changes the object’s mass.,"Relative to the train, Ari moves east at 3 m/s; relative to the ground, Ari moves east at 11 m/s. Motion depends on the chosen reference frame.",4
"A description says, “The cup stays beside Leo on the seat while roadside signs move backward past the window.” Identify the reference frame used when the cup is described as staying beside Leo, and cite the cue.",the roadside signs,the object by itself,no frame is needed,the vehicle/passenger frame,4
A rider on a train says a bag on the floor is at rest. An observer standing on the ground says the bag is moving with the train. Compare the two descriptions and explain why Earth’s surface is a convenient frame for everyday travel.,Only the rider can be correct.,Only the ground observer can be correct.,Both must measure zero speed.,"Both descriptions can be correct because they use different reference frames. Earth’s surface is a stable, shared everyday reference frame for locations and travel.",4
Mina walks toward the front of a train moving east at 12 m/s. Mina walks east at 1 m/s relative to the train. Explain how Mina can have one velocity relative to the train and a different velocity relative to the ground.,Mina must have the same velocity in every frame.,The train is the only valid frame.,Changing reference frame changes the object’s mass.,"Relative to the train, Mina moves east at 1 m/s; relative to the ground, Mina moves east at 13 m/s. Motion depends on the chosen reference frame.",4
"A description says, “The book stays beside Zoe on the seat while roadside signs move backward past the window.” Identify the reference frame used when the book is described as staying beside Zoe, and cite the cue.",the roadside signs,the object by itself,no frame is needed,the vehicle/passenger frame,4
A rider on a bus says a bag on the floor is at rest. An observer standing on the ground says the bag is moving with the bus. Compare the two descriptions and explain why Earth’s surface is a convenient frame for everyday travel.,Only the rider can be correct.,Only the ground observer can be correct.,Both must measure zero speed.,"Both descriptions can be correct because they use different reference frames. Earth’s surface is a stable, shared everyday reference frame for locations and travel.",4
Tess walks toward the front of a train moving east at 10 m/s. Tess walks east at 2 m/s relative to the train. Explain how Tess can have one velocity relative to the train and a different velocity relative to the ground.,Tess must have the same velocity in every frame.,The train is the only valid frame.,Changing reference frame changes the object’s mass.,"Relative to the train, Tess moves east at 2 m/s; relative to the ground, Tess moves east at 12 m/s. Motion depends on the chosen reference frame.",4
"A description says, “The book stays beside Kai on the seat while roadside signs move backward past the window.” Identify the reference frame used when the book is described as staying beside Kai, and cite the cue.",the roadside signs,the object by itself,no frame is needed,the vehicle/passenger frame,4
