Prompt	Answer
What belongs on a free-body diagram? [Family 05]	Only forces acting on the selected object.
What distinguishes balanced from unbalanced forces? [Family 17]	Balanced forces have zero vector sum; unbalanced forces do not.
A cart moves right at constant speed. A student says, “The net force must point right because the cart is moving right.” Critique and revise the claim.	Constant velocity can occur with zero net force. Net force determines acceleration, not the current direction of motion.
A cart is moving left while 30 N acts right and 12 N acts left. A student says the net force points left because the cart is moving left. Critique the reasoning.	The net force is 18 N right. The cart can initially move left while a rightward net force slows the leftward motion.
What belongs on a free-body diagram? [Family 01]	Only forces acting on the selected object.
What belongs on a free-body diagram? [Family 04]	Only forces acting on the selected object.
What distinguishes balanced from unbalanced forces? [Family 14]	Balanced forces have zero vector sum; unbalanced forces do not.
What belongs on a free-body diagram? [Family 10]	Only forces acting on the selected object.
A cart is moving right while a net force acts left. Predict how its motion changes if that force continues.	It slows while moving right, can stop, and then can speed up left; the acceleration is leftward.
What belongs on a free-body diagram? [Family 06]	Only forces acting on the selected object.
What belongs on a free-body diagram? [Family 11]	Only forces acting on the selected object.
What belongs on a free-body diagram? [Family 08]	Only forces acting on the selected object.
What belongs on a free-body diagram? [Family 07]	Only forces acting on the selected object.
A ball is moving upward after release. A student draws an upward “motion force.” Critique the model.	After release, the ball can move upward while gravity acts downward; motion direction is not an extra force.
What does the net-force direction determine? [Family 22]	the acceleration/change in velocity direction
What distinguishes balanced from unbalanced forces? [Family 20]	Balanced forces have zero vector sum; unbalanced forces do not.
Equal 20 N forces act left and right on a moving cart. A student predicts the cart must stop. Critique the prediction.	Equal opposite forces give zero acceleration, not zero velocity; the cart can continue at constant velocity.
A sled moves right but is slowing. A student says the net force must point right. Critique the statement.	If the sled is slowing while moving right, its acceleration and net force point left.
