Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,Balanced forces have what net force? (Practice family 19),a positive force,a forward force,an unknown force,0 N,20,4
2,Which should appear on a free-body diagram for one selected object? (Practice family 10),only forces acting on that object,the object’s velocity arrow as a force,forces the object exerts on other objects,all nearby motion arrows,20,1
3,Which should appear on a free-body diagram for one selected object? (Practice family 08),the object’s velocity arrow as a force,only forces acting on that object,forces the object exerts on other objects,all nearby motion arrows,20,2
4,A cart moves right while the net force points left. What initially happens? (Practice family 22),It must instantly move left.,It slows while moving right.,It speeds up right.,Its velocity cannot change.,20,2
5,A cart moves right while the net force points left. What initially happens? (Practice family 23),It must instantly move left.,It speeds up right.,Its velocity cannot change.,It slows while moving right.,20,4
6,Which should appear on a free-body diagram for one selected object? (Practice family 06),only forces acting on that object,the object’s velocity arrow as a force,forces the object exerts on other objects,all nearby motion arrows,20,1
7,Which should appear on a free-body diagram for one selected object? (Practice family 11),the object’s velocity arrow as a force,forces the object exerts on other objects,only forces acting on that object,all nearby motion arrows,20,3
8,Balanced forces have what net force? (Practice family 16),a positive force,0 N,a forward force,an unknown force,20,2
9,A cart moves right while the net force points left. What initially happens? (Practice family 21),It must instantly move left.,It speeds up right.,Its velocity cannot change.,It slows while moving right.,20,4
10,Balanced forces have what net force? (Practice family 13),0 N,a positive force,a forward force,an unknown force,20,1
11,A cart moves right while the net force points left. What initially happens? (Practice family 29),It must instantly move left.,It speeds up right.,Its velocity cannot change.,It slows while moving right.,20,4
12,Which should appear on a free-body diagram for one selected object? (Practice family 03),only forces acting on that object,the object’s velocity arrow as a force,forces the object exerts on other objects,all nearby motion arrows,20,1
13,Which should appear on a free-body diagram for one selected object? (Practice family 01),the object’s velocity arrow as a force,only forces acting on that object,forces the object exerts on other objects,all nearby motion arrows,20,2
14,Balanced forces have what net force? (Practice family 14),0 N,a positive force,a forward force,an unknown force,20,1
15,Which should appear on a free-body diagram for one selected object? (Practice family 07),the object’s velocity arrow as a force,only forces acting on that object,forces the object exerts on other objects,all nearby motion arrows,20,2
16,Balanced forces have what net force? (Practice family 20),a positive force,a forward force,an unknown force,0 N,20,4
17,Which should appear on a free-body diagram for one selected object? (Practice family 05),the object’s velocity arrow as a force,forces the object exerts on other objects,only forces acting on that object,all nearby motion arrows,20,3
18,Which should appear on a free-body diagram for one selected object? (Practice family 02),the object’s velocity arrow as a force,forces the object exerts on other objects,all nearby motion arrows,only forces acting on that object,20,4
19,A cart moves right while the net force points left. What initially happens? (Practice family 26),It must instantly move left.,It slows while moving right.,It speeds up right.,Its velocity cannot change.,20,2
20,Which should appear on a free-body diagram for one selected object? (Practice family 12),the object’s velocity arrow as a force,forces the object exerts on other objects,all nearby motion arrows,only forces acting on that object,20,4
