Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,Why can a resting object still have forces acting? (Practice family 09),The individual forces can balance to zero net force.,Rest removes all forces.,Inertia cancels gravity.,Only one force may act.,20,1
2,A crate moves at constant speed with 80 N rightward drive. What resistance is required for horizontal equilibrium? (Practice family 26),80 N right,160 N left,0 N,80 N left,20,4
3,An object moves straight at constant speed with zero net force. What state is this? (Practice family 03),dynamic equilibrium,static equilibrium,unbalanced motion,no-force state,20,1
4,An object moves straight at constant speed with zero net force. What state is this? (Practice family 07),static equilibrium,dynamic equilibrium,unbalanced motion,no-force state,20,2
5,Why can a resting object still have forces acting? (Practice family 14),The individual forces can balance to zero net force.,Rest removes all forces.,Inertia cancels gravity.,Only one force may act.,20,1
6,Why can a resting object still have forces acting? (Practice family 11),Rest removes all forces.,The individual forces can balance to zero net force.,Inertia cancels gravity.,Only one force may act.,20,2
7,An object moves straight at constant speed with zero net force. What state is this? (Practice family 04),dynamic equilibrium,static equilibrium,unbalanced motion,no-force state,20,1
8,A crate moves at constant speed with 80 N rightward drive. What resistance is required for horizontal equilibrium? (Practice family 22),80 N right,80 N left,160 N left,0 N,20,2
9,An object moves straight at constant speed with zero net force. What state is this? (Practice family 01),static equilibrium,dynamic equilibrium,unbalanced motion,no-force state,20,2
10,An object moves straight at constant speed with zero net force. What state is this? (Practice family 06),static equilibrium,unbalanced motion,no-force state,dynamic equilibrium,20,4
11,A crate moves at constant speed with 80 N rightward drive. What resistance is required for horizontal equilibrium? (Practice family 23),80 N right,160 N left,0 N,80 N left,20,4
12,A crate moves at constant speed with 80 N rightward drive. What resistance is required for horizontal equilibrium? (Practice family 24),80 N left,80 N right,160 N left,0 N,20,1
13,A crate moves at constant speed with 80 N rightward drive. What resistance is required for horizontal equilibrium? (Practice family 18),80 N left,80 N right,160 N left,0 N,20,1
14,Why can a resting object still have forces acting? (Practice family 08),Rest removes all forces.,Inertia cancels gravity.,Only one force may act.,The individual forces can balance to zero net force.,20,4
15,Why can a resting object still have forces acting? (Practice family 10),Rest removes all forces.,Inertia cancels gravity.,The individual forces can balance to zero net force.,Only one force may act.,20,3
16,A crate moves at constant speed with 80 N rightward drive. What resistance is required for horizontal equilibrium? (Practice family 25),80 N left,80 N right,160 N left,0 N,20,1
17,A crate moves at constant speed with 80 N rightward drive. What resistance is required for horizontal equilibrium? (Practice family 21),80 N left,80 N right,160 N left,0 N,20,1
18,A crate moves at constant speed with 80 N rightward drive. What resistance is required for horizontal equilibrium? (Practice family 29),80 N right,160 N left,80 N left,0 N,20,3
19,A crate moves at constant speed with 80 N rightward drive. What resistance is required for horizontal equilibrium? (Practice family 16),80 N right,160 N left,0 N,80 N left,20,4
20,A crate moves at constant speed with 80 N rightward drive. What resistance is required for horizontal equilibrium? (Practice family 15),80 N right,160 N left,80 N left,0 N,20,3
