Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,"In a vector diagram, what normally represents greater force magnitude? (Practice family 26)",a darker arrow,a longer arrow,a curved arrow,a lower arrow,20,2
2,A 20 N rightward force and a 6 N leftward force act on an object. What is the net force? (Practice family 17),26 N right,14 N left,0 N,14 N right,20,4
3,"In a vector diagram, what normally represents greater force magnitude? (Practice family 22)",a darker arrow,a curved arrow,a longer arrow,a lower arrow,20,3
4,A 20 N rightward force and a 6 N leftward force act on an object. What is the net force? (Practice family 13),14 N right,26 N right,14 N left,0 N,20,1
5,"In a vector diagram, what normally represents greater force magnitude? (Practice family 23)",a darker arrow,a curved arrow,a longer arrow,a lower arrow,20,3
6,"In a vector diagram, what normally represents greater force magnitude? (Practice family 20)",a longer arrow,a darker arrow,a curved arrow,a lower arrow,20,1
7,A 20 N rightward force and a 6 N leftward force act on an object. What is the net force? (Practice family 08),26 N right,14 N right,14 N left,0 N,20,2
8,A 20 N rightward force and a 6 N leftward force act on an object. What is the net force? (Practice family 14),26 N right,14 N right,14 N left,0 N,20,2
9,Why is force a vector quantity? (Practice family 03),It has magnitude only.,It has direction only.,It has both magnitude and direction.,It is always drawn horizontally.,20,3
10,A 20 N rightward force and a 6 N leftward force act on an object. What is the net force? (Practice family 11),14 N right,26 N right,14 N left,0 N,20,1
11,A 20 N rightward force and a 6 N leftward force act on an object. What is the net force? (Practice family 09),26 N right,14 N right,14 N left,0 N,20,2
12,"In a vector diagram, what normally represents greater force magnitude? (Practice family 30)",a longer arrow,a darker arrow,a curved arrow,a lower arrow,20,1
13,Why is force a vector quantity? (Practice family 01),It has both magnitude and direction.,It has magnitude only.,It has direction only.,It is always drawn horizontally.,20,1
14,"In a vector diagram, what normally represents greater force magnitude? (Practice family 29)",a darker arrow,a longer arrow,a curved arrow,a lower arrow,20,2
15,"In a vector diagram, what normally represents greater force magnitude? (Practice family 27)",a darker arrow,a curved arrow,a longer arrow,a lower arrow,20,3
16,Why is force a vector quantity? (Practice family 04),It has magnitude only.,It has direction only.,It is always drawn horizontally.,It has both magnitude and direction.,20,4
17,"In a vector diagram, what normally represents greater force magnitude? (Practice family 19)",a longer arrow,a darker arrow,a curved arrow,a lower arrow,20,1
18,"In a vector diagram, what normally represents greater force magnitude? (Practice family 25)",a longer arrow,a darker arrow,a curved arrow,a lower arrow,20,1
19,"In a vector diagram, what normally represents greater force magnitude? (Practice family 28)",a darker arrow,a curved arrow,a lower arrow,a longer arrow,20,4
20,"In a vector diagram, what normally represents greater force magnitude? (Practice family 21)",a longer arrow,a darker arrow,a curved arrow,a lower arrow,20,1
