summative_question,version_family,section,dok,source_formative,adaptation
1,V1-V4,2.1,1,U2-DOK1.1,reference-frame recognition adaptation
1,V5-V6,2.1,1,U2-DOK1.1,reference-frame recognition adaptation
1,V7-V8,2.1,1,U2-DOK1.1,reference-frame recognition adaptation
2,V1-V4,2.2,1,U2-DOK1.2,speed/velocity vocabulary adaptation
2,V5-V6,2.2,1,U2-DOK1.2,speed/velocity vocabulary adaptation
2,V7-V8,2.2,1,U2-DOK1.2,speed/velocity vocabulary adaptation
3,V1-V4,2.3,1,U2-DOK1.3,motion-diagram classification adaptation
3,V5-V6,2.3,1,U2-DOK1.3,motion-diagram classification adaptation
3,V7-V8,2.3,1,U2-DOK1.3,motion-diagram classification adaptation
4,V1-V4,2.4,1,U2-DOK1.4,free-fall recognition adaptation
4,V5-V6,2.4,1,U2-DOK1.4,free-fall recognition adaptation
4,V7-V8,2.4,1,U2-DOK1.4,free-fall recognition adaptation
5,V1-V4,2.3,1,U2-DOK1.2 / U2-DOK2.2,acceleration/velocity language recognition
5,V5-V6,2.3,1,U2-DOK1.2 / U2-DOK2.2,acceleration/velocity language recognition
5,V7-V8,2.3,1,U2-DOK1.2 / U2-DOK2.2,acceleration/velocity language recognition
6,V1-V4,2.2,2,U2-DOK2.1,average-speed application; reassessment multistep variants
6,V5-V6,2.2,2,U2-DOK2.1,average-speed application; reassessment multistep variants
6,V7-V8,2.2,2,U2-DOK2.1,average-speed application; reassessment multistep variants
7,V1-V4,2.3,2,U2-DOK2.2,velocity-change scenario adaptation
7,V5-V6,2.3,2,U2-DOK2.2,velocity-change scenario adaptation
7,V7-V8,2.3,2,U2-DOK2.2,velocity-change scenario adaptation
8,V1-V4,2.3,2,U2-DOK2.2,acceleration calculation variant
8,V5-V6,2.3,2,U2-DOK2.2,acceleration calculation variant
8,V7-V8,2.3,2,U2-DOK2.2,acceleration calculation variant
9,V1-V4,2.3,2,U2-DOK2.3,motion-graph interpretation variant
9,V5-V6,2.3,2,U2-DOK2.3,motion-graph interpretation variant
9,V7-V8,2.3,2,U2-DOK2.3,motion-graph interpretation variant
10,V1-V4,2.4,2,U2-DOK2.4,free-fall formula/pattern application
10,V5-V6,2.4,2,U2-DOK2.4,free-fall formula/pattern application
10,V7-V8,2.4,2,U2-DOK2.4,free-fall formula/pattern application
11,V1-V4,2.5,2,U2-DOK2.2 / U2-DOK4.4,velocity-vector model recognition
11,V5-V6,2.5,2,U2-DOK2.2 / U2-DOK4.4,velocity-vector model recognition
11,V7-V8,2.5,2,U2-DOK2.2 / U2-DOK4.4,velocity-vector model recognition
12,V1-V4,2.1,3,U2-DOK3.1,reference-frame argument adaptation
12,V5-V6,2.1,3,U2-DOK3.1,reference-frame argument adaptation
12,V7-V8,2.1,3,U2-DOK3.1,reference-frame argument adaptation
13,V1-V4,2.3,3,U2-DOK3.2,acceleration-without-speeding reasoning
13,V5-V6,2.3,3,U2-DOK3.2,acceleration-without-speeding reasoning
13,V7-V8,2.3,3,U2-DOK3.2,acceleration-without-speeding reasoning
14,V1-V4,2.5,3,U2-DOK3.3,graph/table/story consistency analysis
14,V5-V6,2.5,3,U2-DOK3.3,graph/table/story consistency analysis
14,V7-V8,2.5,3,U2-DOK3.3,graph/table/story consistency analysis
15,V1-V4,2.4,3,U2-DOK3.4,free-fall misconception analysis
15,V5-V6,2.4,3,U2-DOK3.4,free-fall misconception analysis
15,V7-V8,2.4,3,U2-DOK3.4,free-fall misconception analysis
16,V1-V4,2.5,4,U2-DOK4.1 / U2-DOK4.2 / U2-DOK4.4,model/evidence evaluation
16,V5-V6,2.5,4,U2-DOK4.1 / U2-DOK4.2 / U2-DOK4.4,model/evidence evaluation
16,V7-V8,2.5,4,U2-DOK4.1 / U2-DOK4.2 / U2-DOK4.4,model/evidence evaluation
17,V1-V4,2.2,FR,U2-DOK2.1,average-speed free response
17,V5-V6,2.2,FR,U2-DOK2.1,average-speed free response
17,V7-V8,2.2,FR,U2-DOK2.1,average-speed free response
18,V1-V4,2.3,FR,U2-DOK2.2,acceleration free response
18,V5-V6,2.3,FR,U2-DOK2.2,acceleration free response
18,V7-V8,2.3,FR,U2-DOK2.2,acceleration free response
19,V1-V4,2.4,FR,U2-DOK2.4,free-fall formula/reasoning free response
19,V5-V6,2.4,FR,U2-DOK2.4,free-fall formula/reasoning free response
19,V7-V8,2.4,FR,U2-DOK2.4,free-fall formula/reasoning free response
20,V1-V4,2.5,FR,U2-DOK3.2 / U2-DOK3.3 / U2-DOK4.1 / U2-DOK4.2 / U2-DOK4.4,motion graph/vector/CER reasoning
20,V5-V6,2.5,FR,U2-DOK3.2 / U2-DOK3.3 / U2-DOK4.1 / U2-DOK4.2 / U2-DOK4.4,motion graph/vector/CER reasoning
20,V7-V8,2.5,FR,U2-DOK3.2 / U2-DOK3.3 / U2-DOK4.1 / U2-DOK4.2 / U2-DOK4.4,motion graph/vector/CER reasoning
