version_family,versions,question,source_formative_family,section,dok,adaptation_type
V1–V4,1–4,1,u07-dok1-1,7.1,DOK 1,charge-interaction recognition adaptation
V1–V4,1–4,2,u07-dok1-2,7.1,DOK 1,conductor/insulator/charging-process recognition adaptation
V1–V4,1–4,3,u07-dok1-3,7.2–7.3,DOK 1,voltage/current/resistance language adaptation
V1–V4,1–4,4,u07-dok1-1/u07-dok1-2/u07-dok1-4,7.1–7.5,DOK 1,electricity/circuit vocabulary recognition adaptation
V1–V4,1–4,5,u07-dok1-4,7.5,DOK 1,series/parallel/mixed/open/short topology recognition adaptation
V1–V4,1–4,6,u07-dok2-1,7.1,DOK 2,Coulomb proportional reasoning adaptation
V1–V4,1–4,7,u07-dok2-2,7.3,DOK 2,Ohm law calculation/data adaptation
V1–V4,1–4,8,u07-dok2-2 + Unit 7 formula plan,7.2–7.3,DOK 2,current or voltage/energy-per-charge formula adaptation
V1–V4,1–4,9,u07-dok2-3,7.4,DOK 2,power/energy calculation adaptation
V1–V4,1–4,10,u07-dok2-4,7.5,DOK 2,equivalent resistance calculation adaptation
V1–V4,1–4,11,u07-dok2-4,7.5,DOK 2,series/parallel circuit comparison adaptation
V1–V4,1–4,12,u07-dok3-1,7.1,DOK 3,static-charge misconception correction adaptation
V1–V4,1–4,13,u07-dok3-2,7.2–7.3,DOK 3,voltage/current/energy misconception analysis adaptation
V1–V4,1–4,14,u07-dok3-3,7.3,DOK 3,Ohm graph interpretation/explanation adaptation
V1–V4,1–4,15,u07-dok3-4,7.5,DOK 3,circuit brightness/path reasoning adaptation
V1–V4,1–4,16,u07-dok4-1/u07-dok4-2/u07-dok4-3/u07-dok4-4,7.3–7.5,DOK 4,model/design/audit/claim evaluation adaptation
V1–V4,1–4,17,u07-dok2-1/u07-dok2-2 + Unit 7 summative plan,7.1–7.3,DOK 2–3,multistep charge/voltage/current/Ohm/Coulomb formula FR
