"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,The first step in a force model is to,choose the object being modeled,draw velocity,add inertia,calculate mass,30,1
2,Each force arrow should represent,motion direction,a real interaction acting on the chosen object,inertia,the object’s path,30,2
3,Balanced forces mean,no forces act,all arrows point right,net force is zero,the object must be at rest,30,3
4,A nonzero net force means,motion is constant,no forces act,mass is zero,motion is changing,30,4
5,Which is a modeling error?,drawing an inertia force arrow,drawing weight from Earth,drawing support from a floor,drawing tension from a rope,30,1
6,A cart has 45 N right and 45 N left. Which motion could fit?,speeding up right,constant straight-line motion,slowing while moving right only,turning because of horizontal imbalance,45,2
7,A box has 70 N right and 30 N left. Net force?,100 N right,40 N left,40 N right,0 N,45,3
8,A person stands still on a scale. Which force pair belongs on the person?,support down and weight up,inertia down and motion up,net force up only,weight down and support up,45,4
9,A crate moves right while net force points left. Which can be true?,It is slowing while still moving right.,It must speed up right.,It must have constant velocity.,It must be at rest.,45,1
10,A hanging object supported by two angled ropes is at rest. What must the vector sum of both tensions and weight equal?,the weight only,zero,the larger tension,the speed,45,2
11,Text says constant speed right; diagram shows 80 N right and 40 N left. Best critique?,They agree because motion is right.,The diagram needs an inertia arrow.,"The unequal forces give nonzero net force, so the diagram and motion description conflict.",The left force should be removed automatically.,60,3
12,A standing person’s diagram shows only weight down. Best revision?,Remove weight.,Add an inertia force up.,Add a forward motion force.,Add the upward support force from the scale/floor so the forces can balance.,60,4
13,Which model-building choice is correct?,Choose one object and draw only forces acting on it.,Draw every force in the entire scene on one diagram.,Use motion arrows as force arrows.,Add inertia as a force.,30,1
14,A force arrow’s source should be,the object’s speed,"an interacting object such as Earth, a surface, rope, or hand",the final net force only,the diagram scale,30,2
15,Which force set is balanced?,30 N right and 10 N left,15 N up and 5 N down,20 N left and 20 N right,12 N right only,45,3
16,Which force set is unbalanced?,25 N up and 25 N down,18 N left and 18 N right,10 N up + 10 N down,40 N right and 15 N left,45,4
17,Zero net force on a moving object means it can,continue with constant velocity,must stop,must speed up,must turn,45,1
18,A rightward net force on a cart moving right is consistent with,constant speed only,speeding up to the right,slowing to the right,zero motion change,45,2
19,Which critique is physically valid?,Every moving object needs a forward force.,Inertia is the main forward force.,A forward force arrow cannot be justified only by forward motion; name a real interaction.,Net force always points with velocity.,60,3
20,How should a mismatched model be revised?,Keep all arrows and change nothing.,Add more decorative arrows.,Remove labels only.,Make the interactions/vector sum and motion description mutually consistent.,60,4
