bank_id,section,destination,priority_phase,issue_category,issue_severity,original_status,repair_action,student_prompt_changed,answer_changed,figure_or_table_changed,metadata_changed,original_prompt_hash,final_prompt_hash,validation_method,final_status,notes
U1-REV-Q02,1.1,Unit Review,PHASE 6 — REVIEW / EXTENDED / PERFORMANCE,selected-response QA,MAJOR QUALITY DEFECT,REPAIR,Reordered selected-response choices to repair answer-position pattern in Unit Review unit.,NO,YES,NO,NO,4994220b6072ebfa01a04847ca07a3b43ddc58593de7de95dca820a06550e4db,4994220b6072ebfa01a04847ca07a3b43ddc58593de7de95dca820a06550e4db,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-REV-Q05,1.2,Unit Review,PHASE 6 — REVIEW / EXTENDED / PERFORMANCE,selected-response QA,MAJOR QUALITY DEFECT,REPAIR,Reordered selected-response choices to repair answer-position pattern in Unit Review unit.,NO,YES,NO,NO,39e55a3e9941739f2c7b29ab7d664373ccda1c6f504d5cb057b806e008907011,39e55a3e9941739f2c7b29ab7d664373ccda1c6f504d5cb057b806e008907011,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-REV-Q07,1.2,Unit Review,PHASE 6 — REVIEW / EXTENDED / PERFORMANCE,selected-response QA,MAJOR QUALITY DEFECT,REPAIR,Reordered selected-response choices to repair answer-position pattern in Unit Review unit.,NO,YES,NO,NO,cb24c184786a84d4749c948b69f9cdfb13634d62c1264903f8708c284a86ea46,cb24c184786a84d4749c948b69f9cdfb13634d62c1264903f8708c284a86ea46,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-REV-Q10,1.3,Unit Review,PHASE 6 — REVIEW / EXTENDED / PERFORMANCE,selected-response QA,MAJOR QUALITY DEFECT,REPAIR,Reordered selected-response choices to repair answer-position pattern in Unit Review unit.,NO,YES,NO,NO,020d35ebf851b81516d5dafaa57f4d3c54b577aaa7f6282105d36a774a2b757e,020d35ebf851b81516d5dafaa57f4d3c54b577aaa7f6282105d36a774a2b757e,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-REV-Q13,1.4,Unit Review,PHASE 6 — REVIEW / EXTENDED / PERFORMANCE,selected-response QA,MAJOR QUALITY DEFECT,REPAIR,Reordered selected-response choices to repair answer-position pattern in Unit Review unit.,NO,YES,NO,NO,451f21be58ac5c7c7073dc4c8c84a8c9e09e94b61bd36b292b47782069130bfb,451f21be58ac5c7c7073dc4c8c84a8c9e09e94b61bd36b292b47782069130bfb,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-REV-Q18,1.5,Unit Review,PHASE 6 — REVIEW / EXTENDED / PERFORMANCE,selected-response QA,MAJOR QUALITY DEFECT,REPAIR,Reordered selected-response choices to repair answer-position pattern in Unit Review unit.,NO,YES,NO,NO,f515be02489f708302df396071fab7983a465c2a42ee18f05d742fe20fd20ea2,f515be02489f708302df396071fab7983a465c2a42ee18f05d742fe20fd20ea2,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS1-Q02,1.1,Practice Set 1,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key. | Removed overused supplied-student-proposal scaffold; restored the family to a direct data/model/calculation task natural to the Physics content. | Resolved an exact parallel-form prompt collision with a family-specific task variation rather than a generic wrapper.,YES,YES,NO,YES,83ee4d3ca5c377770ab15e8d391caeb4ac3de03c15c076a5981080789b373fd9,9f4b52851fa094d97c03e4d84e6d194b26b2d842d79c60a7dc0b7145cc42dc98,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS1-Q03,1.1,Practice Set 1,PHASE 3 — PRACTICE / CYU,selected-response QA,MAJOR QUALITY DEFECT,REPAIR,Reordered selected-response choices to repair answer-position pattern in Practice Set 1 1.1.,NO,YES,NO,NO,2855841005628cabc0314a50cf568fb2f6c79675513cb2153d048d2b3b1f6f8a,2855841005628cabc0314a50cf568fb2f6c79675513cb2153d048d2b3b1f6f8a,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS1-Q04,1.1,Practice Set 1,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key.,YES,YES,NO,NO,a291b0586104753c02cfc454908fb108c3e7628cc84c205f8017476f98d1b8aa,28bc3c751646a79fdf9bbd3895ecb6e9977495b64a39c2980d57ea414483a18f,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS1-Q06,1.1,Practice Set 1,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key. | Reordered selected-response choices to repair answer-position pattern in Practice Set 1 1.1.,YES,YES,NO,NO,a8ef734cbb187a501dc4101253ac419c373e40c722355408a342ac807664bcc6,86da7cc645492ce843e432e9229c00f9e79de9da0114086b6f5370e2cedd6ca3,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS1-Q08,1.1,Practice Set 1,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key. | Removed overused Student A/Student B comparison scaffold; kept the same concept but restored a direct family-specific task. | Resolved an exact parallel-form prompt collision with a family-specific task variation rather than a generic wrapper.,YES,YES,NO,YES,d1a627db737042aa5b2dec7ff11eddae3fc81071614e1eda2ec933784086bedf,4278642663289f29bae41d2ea670813b77a095dff3fdfd257090f043e0c802b8,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS1-Q10,1.1,Practice Set 1,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key. | Removed overused supplied-student-proposal scaffold; restored the family to a direct data/model/calculation task natural to the Physics content. | Resolved an exact parallel-form prompt collision with a family-specific task variation rather than a generic wrapper.,YES,YES,NO,YES,472cf470f6610703b1cb672b91f9109d99ff6de9e1d712b1a1c597e6eff55434,434acc5398ec39156f10fc269abeb921e0a1c800dae18e7eb0dafa742fc359bd,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS1-Q11,1.1,Practice Set 1,PHASE 3 — PRACTICE / CYU,selected-response QA,MAJOR QUALITY DEFECT,REPAIR,"Reordered selected-response choices to repair answer-position pattern in Practice Set 1 1.1. | Replaced a repeated student-claim shell with a direct explanation, prediction, classification, or counterexample task.",YES,YES,NO,YES,f208fa981ffbf901156444c1a3158117e10a879474277b264d6085d69f8c23c0,42ac67ce98fa1542a2d4300ebd76009b6eb58a5fb4c97cdcb4cc4bd384a2da81,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS1-Q12,1.1,Practice Set 1,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key.,YES,YES,NO,NO,b3e4bf30da968d0130e1490afa2887d239ffc9489e4317ee4d15c2aa153c44be,4cf15a8790613c99d969220164e18cb850d33b8ea49752ccb7e6b139152e9f7d,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS1-Q14,1.1,Practice Set 1,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key. | Reordered selected-response choices to repair answer-position pattern in Practice Set 1 1.1.,YES,YES,NO,NO,066a0a6543e728e53ce3336c5c635195522d28ea65217079a8cf8bded5f19ee5,81b31a034227a38e273ae1ef2e9d1353ad67acfb4fdc91bfc7157569165770f8,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS1-Q16,1.1,Practice Set 1,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key. | Removed overused Student A/Student B comparison scaffold; kept the same concept but restored a direct family-specific task. | Resolved an exact parallel-form prompt collision with a family-specific task variation rather than a generic wrapper.,YES,YES,NO,YES,31331695a24287c0bc06e2bab0bcf25aac5ca357027250d9e1ef35726555aa82,cb7e6daa652733725e88807e5595da9b92b6de28d9c7e38bf59e10c7f2979013,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS1-Q18,1.1,Practice Set 1,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key. | Removed overused supplied-student-proposal scaffold; restored the family to a direct data/model/calculation task natural to the Physics content.,YES,YES,NO,YES,7807c4fb1810fd271f7b70faa2fc72aff57eee2c16e96f93ff20e9030cfa92ed,b4202c3dabf29d76114980ffd3109aaa26ed5d09a8b11d69d08a6d76f6aca99f,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS2-Q03,1.1,Practice Set 2,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key.,YES,NO,NO,NO,f896b09272805a9690963ed5b3474b4ebf2ffb6cd619ea0ebcdb08ef5de702c0,c503130dae2c2d595bd52c516d74c4316a6765e3da5691bdfa4b04828d4f274c,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS2-Q05,1.1,Practice Set 2,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key. | Removed overused Student A/Student B comparison scaffold; kept the same concept but restored a direct family-specific task. | Resolved an exact parallel-form prompt collision with a family-specific task variation rather than a generic wrapper.,YES,YES,NO,YES,017d597a0daab63bb283c7bb7e84462ea27d61d2f586d383982df99741941788,f27b12387359391667e3f2039f8036cbdedc7284b6a20a8cfba466111ce04543,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS2-Q07,1.1,Practice Set 2,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key. | Removed overused supplied-student-proposal scaffold; restored the family to a direct data/model/calculation task natural to the Physics content. | Resolved an exact parallel-form prompt collision with a family-specific task variation rather than a generic wrapper.,YES,YES,NO,YES,0ea7ffb39736690caf673c02c19ac63e650656a3615269ee47df12feb319f34a,d1d26b1b0369ad5d759e6a813472f40bb94c689a771fa2730b50c86cbabe0cc4,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS2-Q09,1.1,Practice Set 2,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key.,YES,YES,NO,NO,3bda242a3d49a91e1419790a53fcb7791505d0110e0ed2fd5ef1cd9a9bac91eb,170d8557947c5551a69acd10eb744ef2b7bd85fc161355538d5bbf6da8a90964,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS2-Q11,1.1,Practice Set 2,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key.,YES,NO,NO,NO,154f6cd2f84061e8eb7ba10f63e5ca6b94dadf6e1e3846844e134f7e4098fbbc,8967d32216b821c965de99e3ba286264df057996926899394bdb235485c88ded,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS2-Q13,1.1,Practice Set 2,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key. | Removed overused Student A/Student B comparison scaffold; kept the same concept but restored a direct family-specific task. | Resolved an exact parallel-form prompt collision with a family-specific task variation rather than a generic wrapper.,YES,YES,NO,YES,e13a7a4fc93eb2df987ab6d70752aa6910fc4f3be06d9867340a31b8df5bf424,579f2dc40f6cf5b2e82c9f6e252e8149b1d9c8f07c0943074bf989fdd47b00af,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS2-Q15,1.1,Practice Set 2,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key. | Removed overused supplied-student-proposal scaffold; restored the family to a direct data/model/calculation task natural to the Physics content. | Resolved an exact parallel-form prompt collision with a family-specific task variation rather than a generic wrapper.,YES,YES,NO,YES,eca1fe97cfdc40b495cde92625aa8aab382808932f60051210dbbae76245f682,719727a5323d2b96b70fd9f88ee9903652257d2e81133b4340359e1ac03e2a34,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
