Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,Which belongs on a force diagram for a book resting on a table?,table support on book,book force on Earth,motion force,table weight on floor,20,A
2,Which belongs on a force diagram for a book resting on a table?,book force on Earth,motion force,table weight on floor,table support on book,20,D
3,Which belongs on a force diagram for a book resting on a table?,motion force,table weight on floor,table support on book,book force on Earth,20,C
4,Which belongs on a force diagram for a book resting on a table?,table weight on floor,table support on book,book force on Earth,motion force,20,B
5,Which belongs on a force diagram for a book resting on a table?,table support on book,book force on Earth,motion force,table weight on floor,20,A
6,Which belongs on a force diagram for a book resting on a table?,book force on Earth,motion force,table weight on floor,table support on book,20,D
7,Which belongs on a force diagram for a book resting on a table?,motion force,table weight on floor,table support on book,book force on Earth,20,C
8,Which belongs on a force diagram for a book resting on a table?,table weight on floor,table support on book,book force on Earth,motion force,20,B
9,Which belongs on a force diagram for a book resting on a table?,table support on book,book force on Earth,motion force,table weight on floor,20,A
10,Which belongs on a force diagram for a book resting on a table?,book force on Earth,motion force,table weight on floor,table support on book,20,D
11,Which belongs on a force diagram for a book resting on a table?,motion force,table weight on floor,table support on book,book force on Earth,20,C
12,Which belongs on a force diagram for a book resting on a table?,table weight on floor,table support on book,book force on Earth,motion force,20,B
13,Which belongs on a force diagram for a book resting on a table?,table support on book,book force on Earth,motion force,table weight on floor,20,A
14,Which belongs on a force diagram for a book resting on a table?,book force on Earth,motion force,table weight on floor,table support on book,20,D
15,Which belongs on a force diagram for a book resting on a table?,motion force,table weight on floor,table support on book,book force on Earth,20,C
16,Which belongs on a force diagram for a book resting on a table?,table weight on floor,table support on book,book force on Earth,motion force,20,B
17,Which belongs on a force diagram for a book resting on a table?,table support on book,book force on Earth,motion force,table weight on floor,20,A
18,Which belongs on a force diagram for a book resting on a table?,book force on Earth,motion force,table weight on floor,table support on book,20,D
19,Which belongs on a force diagram for a book resting on a table?,motion force,table weight on floor,table support on book,book force on Earth,20,C
20,Which belongs on a force diagram for a book resting on a table?,table weight on floor,table support on book,book force on Earth,motion force,20,B
