"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,The work-energy theorem says net work changes,kinetic energy,mass,contact time,momentum conservation,30,1
2,Conservation of energy says total energy is,always kinetic,not created or destroyed,always mechanical,zero after friction,30,2
3,Friction often increases,mass,height,thermal energy,momentum without interaction,30,3
4,Mechanical energy in this unit mainly includes,thermal and chemical only,momentum and impulse,power and force,kinetic and gravitational potential energy,30,4
5,A system boundary helps decide whether energy is,transformed within the system or transferred across it,created or destroyed,positive or negative mass,a vector,30,1
6,An ideal object has 80 J PE and 20 J KE. Total mechanical energy is,60 J,100 J,80 J,160 J,45,2
7,Later the same ideal system has 30 J PE. Its KE is,30 J,50 J,70 J,130 J,45,3
8,KE rises from 15 J to 45 J. Net work is,−30 J,+60 J,0 J,+30 J,45,4
9,A 120 J account has 75 J mechanical energy and the rest thermal. Thermal is,45 J,75 J,120 J,195 J,45,1
10,A 2 kg cart slows from 4 m/s to 2 m/s. Its KE change is,+12 J,−12 J,−4 J,+4 J,45,2
11,A chart shows PE down 40 J and KE up 25 J with no other change. Best critique?,Energy conservation requires PE and KE to be equal.,The total should increase by 65 J.,The account is missing 15 J in another form or transfer.,Friction can simply destroy the 15 J.,60,3
12,A student says friction destroys mechanical energy. Best correction?,Friction creates new energy.,Conservation applies only without friction.,Thermal energy is not energy.,Mechanical energy can become thermal energy while total energy remains conserved.,60,4
13,Positive net work tends to make kinetic energy,increase,decrease,stay zero,become mass,45,1
14,Negative net work tends to make kinetic energy,increase,decrease,become height automatically,remain unchanged in all cases,45,2
15,"At the bottom of an ideal pendulum swing, compared with the top, there is generally",more PE and less KE,zero total energy,more KE and less PE,no gravitational interaction,45,3
16,"When brakes warm during stopping, the warmth is evidence of",energy destruction,mass loss,momentum creation,energy transfer/transformation into thermal energy,45,4
17,A complete energy account for a rough ramp should include,thermal energy if surfaces warm,only PE and KE regardless of evidence,no system boundary,momentum instead of energy,45,1
18,"If a 90 J system has 20 J PE and 50 J KE, other forms total",40 J,20 J,70 J,160 J,45,2
19,Which model best obeys conservation?,PE decreases and the total simply shrinks.,KE increases while no other form changes and total rises.,PE decreases while KE and thermal increase by matching total amounts.,Thermal energy is omitted because it is less useful.,45,3
20,Why can a stopped car still be part of an energy-conservation story?,Zero speed means all energy vanished.,Stopping cancels conservation.,The car loses mass equal to its KE.,Its former kinetic energy has been transferred or transformed into other forms.,45,4
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
