"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,Which statement is an observation?,The ruler reads 31.4 cm.,The object is longer because it expanded.,The object will keep expanding.,A theory explains the expansion.,30,1
2,Which term means a conclusion built from observations and evidence?,measurement,inference,scientific law,model,30,2
3,Which term is a proposed explanation or prediction that can be tested?,observation,measurement,hypothesis,scientific law,30,3
4,Which term describes a broad explanation supported by a large body of well-tested information?,inference,measurement,testable claim,scientific theory,30,4
5,Which term describes a simplified representation used to explain or predict a physical situation?,model,law,observation,evidence,30,1
6,A student records that a shadow is 12 cm long and concludes the light source is not directly overhead. Which part is the inference?,The shadow exists.,The light source is not directly overhead.,The shadow is 12 cm long.,The ruler has centimeter marks.,45,2
7,Why can a simplified model still be scientifically useful?,It looks exactly like reality.,It guarantees every prediction will be correct.,It can preserve the relationships important to the question even if some details are omitted.,It removes the need for measurements.,45,3
8,Which claim is most testable?,A hidden cause changes motion but can never be detected.,Nature prefers this result.,The result occurs for an unknowable reason.,A cart released from a higher ramp position travels farther on the same floor.,45,4
9,Repeated measurements disagree with a model’s prediction. What is the best response?,"Check the measurements and assumptions, then revise the model if the disagreement remains.",Ignore the measurements.,Keep the model unchanged because it came first.,Change the data to fit the model.,45,1
10,Why should a student identify what each symbol in a formula represents before calculating?,To make the calculator work faster.,To connect the mathematical relationship to the measured physical quantities and assumptions.,To guarantee the measurements are exact.,To avoid interpreting the result.,45,2
11,A precise calculation is based on a poorly estimated distance. Which evaluation is strongest?,The answer must be correct because the arithmetic is precise.,The estimate becomes exact inside a formula.,The result may not be well supported because the input evidence is weak.,Only the number of decimal places matters.,60,3
12,Model A is visually realistic but fails to predict new measurements. Model B is simpler but correctly predicts them. Which evaluation is best?,Model A is better because it has more detail.,Both models are equally strong because all models are simplified.,Neither model can be evaluated with evidence.,Model B is more useful for this question because its preserved relationship fits the evidence.,60,4
13,Which choice is an inference rather than an observation?,The spacing in the photo suggests the object is speeding up.,The timer reads 3.8 s.,The scale reads 210 g.,The mark is 6 mm wide.,30,1
14,Which pair correctly matches the terms?,Observation—untestable idea; inference—measuring tool.,Observation—directly recorded; inference—conclusion built from evidence.,Observation—broad theory; inference—scientific law.,Observation—model; inference—formula.,30,2
15,Why must a scientific claim be testable?,So it will always be true.,So it never needs revision.,So evidence could support or challenge it.,So authority can decide the result.,45,3
16,Which result would provide the strongest challenge to a claim?,A classmate dislikes the claim.,The claim uses a short equation.,The claim was proposed recently.,A careful repeatable measurement that contradicts its prediction.,45,4
17,A model predicts equal ratios in repeated trials. Which evidence best supports it?,Several independent trials give nearly the same expected ratio.,One trial gives the expected ratio.,The diagram is attractive.,The model was made by an expert.,45,1
18,Which action best evaluates whether an explanation is supported?,Count how many scientific words it uses.,Compare its predictions with observations and measurements.,Choose the oldest explanation.,Reject any unexpected result immediately.,45,2
19,Which statement best describes a formula in physics?,A replacement for evidence.,A guarantee that assumptions are correct.,A compact model showing how quantities relate.,A rule that makes estimates exact.,45,3
20,A formula gives a result that conflicts with careful measurements. What should a physicist do first?,Keep the formula result because equations cannot be wrong.,Discard the measurements without checking them.,Add more decimal places to the calculation.,"Check the measurements, assumptions, and whether the formula applies to the situation.",45,4
